112,"t","2016 Organic Survey: Released September 20, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
112,"t","Table 13.  Certified Organic Field Crops and Hay Harvested and Value of Sales:  2016 (continued)"
112,"t","[For meaning of abbreviations and symbols, see introductory text.]"
112,"h","","","","","","",""
112,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
112,"h","","","","","","",""
112,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
112,"h","","","","","","",""
112,"d","SAFFLOWER (POUNDS)",,,,,,
112,"d","",,,,,,
112,"d","United States",12,3067,1632058,11,1535979,472301
112,"d","",,,,,,
112,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
112,"d","Idaho",1,"(D)","(D)",-,-,-
112,"d","Montana",6,1585,770680,6,770680,271945
112,"d","Utah",3,"(D)","(D)",3,"(D)","(D)"
112,"d","",,,,,,
112,"d","SORGHUM FOR GRAIN OR SEED,",,,,,,
112,"d"," INCLUDING MILO (BUSHELS)",,,,,,
112,"d","",,,,,,
112,"d","United States",60,12730,634781,48,559567,3999617
112,"d","",,,,,,
112,"d","California",6,1190,39616,6,37498,272768
112,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
112,"d","Idaho",1,"(D)","(D)",-,-,-
112,"d","Illinois",1,"(D)","(D)",1,"(D)","(D)"
112,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
112,"d","",,,,,,
112,"d","Kansas",18,2184,138840,15,114813,816579
112,"d","Kentucky",1,"(D)","(D)",-,-,-
112,"d","Maryland",1,"(D)","(D)",1,"(D)","(D)"
112,"d","Mississippi",3,600,39720,3,33456,234300
112,"d","Missouri",1,"(D)","(D)",-,-,-
112,"d","",,,,,,
112,"d","Nebraska",3,"(D)","(D)",3,"(D)","(D)"
112,"d","New Mexico",4,5450,"(D)",4,"(D)","(D)"
112,"d","New York",1,"(D)","(D)",-,-,-
112,"d","North Carolina",1,"(D)","(D)",-,-,-
112,"d","North Dakota",1,"(D)","(D)",1,"(D)","(D)"
112,"d","",,,,,,
112,"d","Pennsylvania",3,27,1225,-,-,-
112,"d","South Dakota",2,"(D)","(D)",2,"(D)","(D)"
112,"d","Texas",7,2438,115195,7,108502,793701
112,"d","Vermont",1,"(D)","(D)",-,-,-
112,"d","Wisconsin",2,"(D)","(D)",2,"(D)","(D)"
112,"d","",,,,,,
112,"d","SORGHUM FOR SILAGE OR",,,,,,
112,"d"," GREENCHOP (TONS)",,,,,,
112,"d","",,,,,,
112,"d","United States",123,8251,86185,23,4641,300490
112,"d","",,,,,,
112,"d","California",1,"(D)","(D)",-,-,-
112,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
112,"d","Illinois",2,"(D)","(D)",-,-,-
112,"d","Indiana",8,149,1806,3,339,26000
112,"d","Iowa",11,166,2022,-,-,-
112,"d","",,,,,,
112,"d","Kentucky",2,"(D)","(D)",-,-,-
112,"d","Maine",3,"(D)","(D)",-,-,-
112,"d","Maryland",5,169,724,1,"(D)","(D)"
112,"d","Michigan",3,30,460,2,"(D)","(D)"
112,"d","Minnesota",3,"(D)",1540,-,-,-
112,"d","",,,,,,
112,"d","Mississippi",1,"(D)","(D)",-,-,-
112,"d","Missouri",1,"(D)","(D)",1,"(D)","(D)"
112,"d","New York",22,470,3333,6,1340,91870
112,"d","North Carolina",3,370,4200,1,"(D)","(D)"
112,"d","Ohio",12,130,1313,4,665,55200
112,"d","",,,,,,
112,"d","Pennsylvania",8,177,2552,-,-,-
112,"d","Tennessee",2,"(D)","(D)",1,"(D)","(D)"
112,"d","Texas",4,4960,52014,3,796,47730
112,"d","Vermont",2,"(D)","(D)",-,-,-
112,"d","Virginia",2,"(D)","(D)",-,-,-
112,"d","",,,,,,
112,"d","Washington",1,"(D)","(D)",-,-,-
112,"d","West Virginia",2,"(D)","(D)",-,-,-
112,"d","Wisconsin",24,693,6360,-,-,-
112,"c",""
112,"c","--continued"
