77,"t","2015 Organic Survey: Released September 15, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
77,"t","Table 9.  Certified Organic Field Crops Harvested and Value of Sales:  2015 (continued)"
77,"t","[For meaning of abbreviations and symbols, see introductory text.]"
77,"h","","","","","","",""
77,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
77,"h","","","","","","",""
77,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
77,"h","","","","","","",""
77,"d","HAY, OTHER DRY (TONS)",,,,,,
77,"d","",,,,,,
77,"d","United States",1673,181762,399702,921,139368,19541342
77,"d","",,,,,,
77,"d","Alabama",2,"(D)","(D)",2,"(D)","(D)"
77,"d","Arizona",1,"(D)","(D)",-,-,-
77,"d","Arkansas",3,30,"(D)",-,-,-
77,"d","California",72,15195,35404,57,21921,3687941
77,"d","Colorado",14,9596,12079,10,5730,1188419
77,"d","",,,,,,
77,"d","Connecticut",8,450,1092,5,58,6934
77,"d","Georgia",3,30,42,2,"(D)","(D)"
77,"d","Idaho",14,1621,5278,8,943,136535
77,"d","Illinois",22,968,2750,18,1954,239305
77,"d","Indiana",43,1406,4343,20,1046,183339
77,"d","",,,,,,
77,"d","Iowa",83,3234,10137,57,3613,383819
77,"d","Kansas",7,4730,9454,7,"(D)","(D)"
77,"d","Kentucky",16,587,1337,6,"(D)","(D)"
77,"d","Louisiana",1,"(D)","(D)",-,-,-
77,"d","Maine",93,8727,17550,52,2455,358208
77,"d","",,,,,,
77,"d","Maryland",13,517,1138,9,333,55418
77,"d","Massachusetts",15,671,1320,11,84,11812
77,"d","Michigan",34,1565,3345,26,966,136600
77,"d","Minnesota",73,5954,20675,42,2831,259243
77,"d","Mississippi",2,"(D)","(D)",-,-,-
77,"d","",,,,,,
77,"d","Missouri",9,498,997,4,49,"(D)"
77,"d","Montana",16,4690,7972,7,3510,489719
77,"d","Nebraska",11,1674,4596,8,1952,182395
77,"d","Nevada",6,968,1606,6,1606,"(D)"
77,"d","New Hampshire",14,"(D)","(D)",4,"(D)","(D)"
77,"d","",,,,,,
77,"d","New Jersey",6,76,170,6,60,7950
77,"d","New Mexico",9,2960,6190,9,5084,707800
77,"d","New York",298,33348,69661,132,21402,2045380
77,"d","North Carolina",5,133,426,1,"(D)","(D)"
77,"d","North Dakota",18,3250,7023,16,3015,279812
77,"d","",,,,,,
77,"d","Ohio",115,6357,17260,65,6137,1088562
77,"d","Oklahoma",6,"(D)","(D)",4,80,10850
77,"d","Oregon",48,13630,24020,34,16050,2887955
77,"d","Pennsylvania",139,11914,23193,60,4296,688514
77,"d","Rhode Island",2,"(D)","(D)",2,"(D)","(D)"
77,"d","",,,,,,
77,"d","South Carolina",3,"(D)",160,2,"(D)","(D)"
77,"d","South Dakota",13,2121,3777,13,1360,126787
77,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)"
77,"d","Texas",10,1744,3971,8,1170,170936
77,"d","Utah",1,"(D)","(D)",-,-,-
77,"d","",,,,,,
77,"d","Vermont",166,18690,40828,66,7739,1053435
77,"d","Virginia",13,2847,7789,8,"(D)","(D)"
77,"d","Washington",38,2751,7451,28,1164,147525
77,"d","West Virginia",3,"(D)","(D)",-,-,-
77,"d","Wisconsin",193,11039,29326,95,7095,754031
77,"d","Wyoming",11,3600,7521,10,6533,997127
77,"d","",,,,,,
77,"d","HAYLAGE AND GREENCHOP, ALL (TONS)",,,,,,
77,"d","",,,,,,
77,"d","United States",1412,160878,869914,461,159212,15626584
77,"d","",,,,,,
77,"d","Arizona",1,"(D)","(D)",-,-,-
77,"d","California",59,15019,148276,29,39174,3861229
77,"d","Colorado",4,1873,14342,3,"(D)","(D)"
77,"d","Connecticut",6,219,606,3,9,"(D)"
77,"d","Delaware",1,"(D)","(D)",1,"(D)","(D)"
77,"d","Idaho",6,602,3145,4,2215,205170
77,"c",""
77,"c","--continued"
