102,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
102,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
102,"h","","","","","","",""
102,"h","","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con."
102,"h","","","","","","",""
102,"h","","Sold as certified organic","Sold as certified organic","Sold as certified organic","Sold as conventional","Sold as conventional","Sold as conventional"
102,"h","","","","","","",""
102,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
102,"h","","","","","","",""
102,"d","SUNFLOWER SEED, ALL (POUNDS) - Con.",,,,,,
102,"d","",,,,,,
102,"d","Pennsylvania",1,"(D)","(D)",-,-,-
102,"d","South Dakota",4,2057206,625946,-,-,-
102,"d","Utah",2,"(D)","(D)",-,-,-
102,"d","Vermont",1,"(D)","(D)",-,-,-
102,"d","Wisconsin",4,295090,110456,-,-,-
102,"d","Wyoming",1,"(D)","(D)",-,-,-
102,"d","",,,,,,
102,"d","WHEAT, DURUM FOR GRAIN",,,,,,
102,"d"," OR SEED (BUSHELS)",,,,,,
102,"d","",,,,,,
102,"d","United States",33,"(D)","(D)",2,"(D)","(D)"
102,"d","",,,,,,
102,"d","California",4,273445,1790571,-,-,-
102,"d","Idaho",1,"(D)","(D)",-,-,-
102,"d","Montana",16,"(D)","(D)",2,"(D)","(D)"
102,"d","North Dakota",10,22828,315066,-,-,-
102,"d","Washington",2,"(D)","(D)",-,-,-
102,"d","",,,,,,
102,"d","WHEAT, OTHER SPRING FOR GRAIN",,,,,,
102,"d"," OR SEED (BUSHELS)",,,,,,
102,"d","",,,,,,
102,"d","United States",227,1902363,24100330,14,50339,335734
102,"d","",,,,,,
102,"d","California",4,"(D)","(D)",-,-,-
102,"d","Colorado",8,"(D)","(D)",1,"(D)","(D)"
102,"d","Idaho",15,105720,1038259,3,2262,19989
102,"d","Illinois",-,-,-,1,"(D)","(D)"
102,"d","Iowa",1,"(D)","(D)",-,-,-
102,"d","",,,,,,
102,"d","Kentucky",-,-,-,-,-,-
102,"d","Maine",5,2845,19999,-,-,-
102,"d","Massachusetts",1,"(D)","(D)",-,-,-
102,"d","Michigan",5,2044,27674,-,-,-
102,"d","Minnesota",31,65696,778101,4,1362,8830
102,"d","",,,,,,
102,"d","Montana",42,"(D)","(D)",2,"(D)","(D)"
102,"d","Nebraska",1,"(D)","(D)",-,-,-
102,"d","Nevada",4,12250,"(D)",-,-,-
102,"d","New Hampshire",1,"(D)","(D)",-,-,-
102,"d","New York",11,3144,41819,-,-,-
102,"d","",,,,,,
102,"d","North Dakota",54,"(D)","(D)",1,"(D)","(D)"
102,"d","Ohio",2,"(D)","(D)",-,-,-
102,"d","Oklahoma",-,-,-,-,-,-
102,"d","Oregon",12,303548,3428747,-,-,-
102,"d","Pennsylvania",2,"(D)","(D)",-,-,-
102,"d","",,,,,,
102,"d","South Dakota",10,"(D)","(D)",1,"(D)","(D)"
102,"d","Utah",1,"(D)","(D)",-,-,-
102,"d","Vermont",-,-,-,-,-,-
102,"d","Washington",12,"(D)","(D)",1,"(D)","(D)"
102,"d","Wisconsin",5,5284,49259,-,-,-
102,"d","",,,,,,
102,"d","WHEAT, WINTER FOR GRAIN OR",,,,,,
102,"d"," SEED (BUSHELS)",,,,,,
102,"d","",,,,,,
102,"d","United States",556,4773267,48025739,170,864752,5949827
102,"d","",,,,,,
102,"d","Arizona",1,"(D)","(D)",-,-,-
102,"d","California",30,887246,7274976,5,367932,2308522
102,"c",""
102,"c","See footnote(s) at end of table.","--continued"
