100,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
100,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
100,"h","","","","","","",""
100,"h","","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con."
100,"h","","","","","","",""
100,"h","","Sold as certified organic","Sold as certified organic","Sold as certified organic","Sold as conventional","Sold as conventional","Sold as conventional"
100,"h","","","","","","",""
100,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
100,"h","","","","","","",""
100,"d","SOYBEANS (BUSHELS)",,,,,,
100,"d","",,,,,,
100,"d","United States",934,2346046,48915196,194,39457,495213
100,"d","",,,,,,
100,"d","Arkansas",2,"(D)","(D)",-,-,-
100,"d","Delaware",-,-,-,-,-,-
100,"d","Georgia",2,"(D)","(D)",1,"(D)","(D)"
100,"d","Idaho",1,"(D)","(D)",-,-,-
100,"d","Illinois",60,237840,5016291,15,6437,78977
100,"d","",,,,,,
100,"d","Indiana",9,8594,158828,-,-,-
100,"d","Iowa",197,316329,6781304,53,13073,174223
100,"d","Kansas",17,"(D)","(D)",1,"(D)","(D)"
100,"d","Kentucky",-,-,-,-,-,-
100,"d","Louisiana",1,"(D)","(D)",-,-,-
100,"d","",,,,,,
100,"d","Maine",2,"(D)","(D)",-,-,-
100,"d","Maryland",10,"(D)","(D)",1,"(D)","(D)"
100,"d","Michigan",66,366989,7765589,9,712,8368
100,"d","Minnesota",104,280182,6133344,21,2394,27604
100,"d","Missouri",59,112108,2295888,9,1437,17387
100,"d","",,,,,,
100,"d","Nebraska",52,230630,4651279,5,2904,40269
100,"d","New Jersey",-,-,-,-,-,-
100,"d","New York",74,192755,4129367,25,2740,33154
100,"d","North Carolina",8,19624,360944,-,-,-
100,"d","North Dakota",19,63996,1410408,6,2887,32677
100,"d","",,,,,,
100,"d","Ohio",84,167141,3059705,22,2465,29831
100,"d","Pennsylvania",32,33031,698370,8,730,8833
100,"d","South Dakota",21,"(D)","(D)",1,"(D)","(D)"
100,"d","Tennessee",2,"(D)","(D)",-,-,-
100,"d","Texas",1,"(D)","(D)",-,-,-
100,"d","",,,,,,
100,"d","Vermont",5,8049,184699,-,-,-
100,"d","Virginia",4,"(D)","(D)",3,"(D)","(D)"
100,"d","Wisconsin",102,150365,2974743,14,684,8013
100,"d","",,,,,,
100,"d","SUGARCANE FOR SUGAR (TONS)",,,,,,
100,"d","",,,,,,
100,"d","United States",1,"(D)","(D)",1,"(D)","(D)"
100,"d","",,,,,,
100,"d","Florida",1,"(D)","(D)",1,"(D)","(D)"
100,"d","",,,,,,
100,"d","SUNFLOWER SEED, ALL (POUNDS)",,,,,,
100,"d","",,,,,,
100,"d","United States",56,"(D)","(D)",1,"(D)","(D)"
100,"d","",,,,,,
100,"d","Colorado",1,"(D)","(D)",-,-,-
100,"d","Idaho",1,"(D)","(D)",-,-,-
100,"d","Illinois",1,"(D)","(D)",1,"(D)","(D)"
100,"d","Iowa",1,"(D)","(D)",-,-,-
100,"d","Kansas",3,225043,193319,-,-,-
100,"d","",,,,,,
100,"d","Minnesota",9,1571016,643234,-,-,-
100,"d","Missouri",1,"(D)","(D)",-,-,-
100,"d","Nebraska",5,1137620,340351,-,-,-
100,"d","New York",5,111330,55085,-,-,-
100,"d","North Dakota",13,2674711,824172,-,-,-
100,"d","",,,,,,
100,"d","Ohio",3,70025,16483,-,-,-
100,"d","Oklahoma",-,-,-,-,-,-
100,"c",""
100,"c","See footnote(s) at end of table.","--continued"
