Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"1-Naphthol","Apple Sauce","190","1","0.5","0.034","0.034","0.015","M","12"
"1-Naphthol","Apples","442","3","0.7","0.031","0.54","0.015","M","12"
"1-Naphthol","Cranberries","156","7","4.5","0.01","0.021","0.01","M","3.0"
"1-Naphthol","Cranberries, Frozen","25","0"," "," "," ","0.01","M","3.0"
"1-Naphthol","Eggs","294","0"," "," "," ","0.04","M","0.5"
"1-Naphthol","Grapefruit","346","0"," "," "," ","0.01","M","10"
"1-Naphthol","Grapes","708","0"," "," "," ","0.05","M","10"
"1-Naphthol","Green Beans","408","5","1.2","0.013","4.4","0.006","M","10"
"1-Naphthol","Lettuce","126","0"," "," "," ","0.015","M","10"
"1-Naphthol","Pears","707","0"," "," "," ","0.05","M","12"
"2,4,5-T","Grapefruit","268","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Milk","531","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Strawberries","530","0"," "," "," ","0.1","M","NT"
"2,4-D","Grapefruit","268","0"," "," "," ","0.05","M","3.0"
"2,4-D","Milk","531","0"," "," "," ","0.05","M","0.05"
"2,4-D","Strawberries","530","0"," "," "," ","0.05","M","0.05"
"2,4-DB","Grapefruit","268","0"," "," "," ","0.1","M","NT"
"2,4-DB","Milk","531","0"," "," "," ","0.1","M","NT"
"2,4-DB","Strawberries","530","0"," "," "," ","0.1","M","NT"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Grapefruit","358","0"," "," "," ","0.005","M","NT"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Milk","708","0"," "," "," ","0.005","M","NT"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Olives, Canned","189","0"," "," "," ","0.005","M","NT"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Strawberries","530","0"," "," "," ","0.005","M","NT"
