Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"2,6-DIPN","Grapefruit","90","0"," "," "," ","0.01","M","NT"
"2,6-DIPN","Milk","708","0"," "," "," ","0.01","M","0.02"
"2,6-DIPN","Olives, Canned","189","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Apple Sauce","190","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Apples","531","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Cherries","30","0"," "," "," ","0.002 - 0.004","M","NT"
"3-Hydroxycarbofuran","Cherries, Frozen","144","0"," "," "," ","0.002 - 0.004","M","NT"
"3-Hydroxycarbofuran","Cranberries","156","0"," "," "," ","0.004","M","NT"
"3-Hydroxycarbofuran","Cranberries, Frozen","25","0"," "," "," ","0.004","M","NT"
"3-Hydroxycarbofuran","Cucumbers","754","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Eggs","294","0"," "," "," ","0.04","M","NT"
"3-Hydroxycarbofuran","Grapefruit","704","0"," "," "," ","0.0012 - 0.004","M","NT"
"3-Hydroxycarbofuran","Grapes","708","0"," "," "," ","0.05","M","NT"
"3-Hydroxycarbofuran","Green Beans","567","1","0.2","0.002","0.002","0.002","M","NT"
"3-Hydroxycarbofuran","Lettuce","756","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Milk","708","0"," "," "," ","0.0012","M","NT"
"3-Hydroxycarbofuran","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"3-Hydroxycarbofuran","Oranges","708","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Pears","707","0"," "," "," ","0.05","M","NT"
"3-Hydroxycarbofuran","Potatoes","708","0"," "," "," ","0.0012 - 0.004","M","NT"
"3-Hydroxycarbofuran","Spinach","707","0"," "," "," ","0.0012 - 0.005","M","NT"
"3-Hydroxycarbofuran","Strawberries","530","0"," "," "," ","0.0012","M","NT"
"3-Hydroxycarbofuran","Sweet Potatoes","532","0"," "," "," ","0.005","M","NT"
"3-Hydroxycarbofuran","Tomatoes","528","0"," "," "," ","0.0012 - 0.004","M","NT"
"3-Hydroxycarbofuran","Tomatoes, Canned","189","0"," "," "," ","0.0012","M","NT"
"5-Hydroxythiabendazole","Grapefruit","358","6","1.7","0.0013","0.0031","0.0012","M","10.0"
"5-Hydroxythiabendazole","Milk","708","0"," "," "," ","0.0012","M","0.1"
"5-Hydroxythiabendazole","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"5-Hydroxythiabendazole","Strawberries","530","0"," "," "," ","0.0012","M","5.0"
"Abamectin","Apple Sauce","190","0"," "," "," ","0.05","M","0.02"
"Abamectin","Eggs","294","0"," "," "," ","0.04","M","0.01"
"Abamectin","Grapefruit","358","0"," "," "," ","0.02","M","0.02"
"Abamectin","Grapes","708","0"," "," "," ","0.05","M","0.02"
"Abamectin","Milk","708","0"," "," "," ","0.02","M","0.015"
"Abamectin","Olives, Canned","189","0"," "," "," ","0.02","M","0.01"
"Abamectin","Pears","707","0"," "," "," ","0.05","M","0.02"
"Abamectin","Strawberries","530","1","0.2","0.029","0.029","0.02","M","0.05"
"Acephate","Apple Sauce","190","0"," "," "," ","0.003","M","0.02"
"Acephate","Apples","531","0"," "," "," ","0.003","M","0.02"
"Acephate","Cherries","30","0"," "," "," ","0.15","M","0.02"
"Acephate","Cherries, Frozen","144","0"," "," "," ","0.15","M","0.02"
"Acephate","Cranberries","156","0"," "," "," ","0.015","M","0.5"
"Acephate","Cranberries, Frozen","25","0"," "," "," ","0.015","M","0.5"
"Acephate","Cucumbers","731","0"," "," "," ","0.05","M","0.02"
"Acephate","Eggs","294","0"," "," "," ","0.04","M","0.1"
"Acephate","Grapefruit","704","0"," "," "," ","0.005 - 0.03","M","0.02"
"Acephate","Grapes","708","0"," "," "," ","0.05","M","0.02"
"Acephate","Green Beans","567","51","9","0.031","1.7","0.03","M","3.0"
"Acephate","Lettuce","756","39","5.2","0.003","0.14","0.003","M","10"
"Acephate","Milk","708","0"," "," "," ","0.005","M","0.1"
"Acephate","Olives, Canned","189","0"," "," "," ","0.005","M","0.02"
"Acephate","Oranges","708","0"," "," "," ","0.05","M","0.02"
"Acephate","Pears","707","0"," "," "," ","0.05","M","0.02"
"Acephate","Potatoes","708","0"," "," "," ","0.0015 - 0.005","M","0.02"
"Acephate","Spinach","707","0"," "," "," ","0.005 - 0.15","M","0.02"
"Acephate","Strawberries","530","0"," "," "," ","0.005","M","0.02"
"Acephate","Sweet Potatoes","532","0"," "," "," ","0.15","M","0.02"
"Acephate","Tomatoes","528","1","0.2","0.023","0.023","0.0015 - 0.01","M","0.02"
"Acephate","Tomatoes, Canned","189","0"," "," "," ","0.0015","M","0.02"
"Acetamiprid","Apple Sauce","190","150","78.9","0.002","0.079","0.0015","M","1.0"
"Acetamiprid","Apples","531","173","32.6","0.002","0.18","0.0015","M","1.0"
"Acetamiprid","Cherries","30","18","60","0.003","0.13","0.002","M","1.20"
"Acetamiprid","Cherries, Frozen","144","92","63.9","0.0021","0.1","0.002","M","1.20"
"Acetamiprid","Cranberries","156","0"," "," "," ","0.002","M","1.6"
"Acetamiprid","Cranberries, Frozen","25","0"," "," "," ","0.002","M","1.6"
"Acetamiprid","Cucumbers","754","24","3.2","0.01","0.07","0.01","M","0.50"
"Acetamiprid","Eggs","294","0"," "," "," ","0.04","M","0.010"
"Acetamiprid","Grapefruit","704","5","0.7","0.0014","0.012","0.0012 - 0.002","M","1.0"
"Acetamiprid","Grapes","708","63","8.9","0.0166","2.1199","0.01","M","0.35"
"Acetamiprid","Green Beans","567","8","1.4","0.0022","0.17","0.002","M","0.60"
"Acetamiprid","Lettuce","756","29","3.8","0.002","0.23","0.0015","M","3.00"
"Acetamiprid","Milk","708","0"," "," "," ","0.0012","M","0.30"
"Acetamiprid","Olives, Canned","189","0"," "," "," ","0.0012","M","0.01"
"Acetamiprid","Oranges","708","5","0.7","0.011","0.014","0.01","M","1.0"
"Acetamiprid","Pears","706","102","14.4","0.0166","0.3477","0.01","M","1.0"
"Acetamiprid","Potatoes","708","0"," "," "," ","0.001","M","0.01"
"Acetamiprid","Spinach","707","64","9.1","0.002","1.3","0.001 - 0.005","M","3.00"
"Acetamiprid","Strawberries","530","158","29.8","0.0013","0.89","0.0012","M","0.60"
"Acetamiprid","Sweet Potatoes","532","0"," "," "," ","0.005","M","0.01"
"Acetamiprid","Tomatoes","528","47","8.9","0.002","0.076","0.001","M","0.20"
"Acetamiprid","Tomatoes, Canned","189","2","1.1","0.002","0.002","0.001","M","0.20"
"Acetochlor","Apple Sauce","190","0"," "," "," ","0.005","M","NT"
"Acetochlor","Apples","531","0"," "," "," ","0.005","M","NT"
"Acetochlor","Cranberries","156","0"," "," "," ","0.03","M","NT"
"Acetochlor","Cranberries, Frozen","25","0"," "," "," ","0.03","M","NT"
"Acetochlor","Grapefruit","704","0"," "," "," ","0.005","M","NT"
"Acetochlor","Green Beans","567","0"," "," "," ","0.005","M","NT"
"Acetochlor","Lettuce","756","0"," "," "," ","0.005","M","NT"
"Acetochlor","Milk","708","0"," "," "," ","0.005","M","NT"
"Acetochlor","Olives, Canned","189","0"," "," "," ","0.005","M","NT"
"Acetochlor","Strawberries","530","0"," "," "," ","0.005","M","NT"
"Acetochlor","Sweet Potatoes","532","0"," "," "," ","0.05","M","NT"
"Acibenzolar S methyl","Apple Sauce","190","0"," "," "," ","0.02","M","0.03"
"Acibenzolar S methyl","Apples","531","0"," "," "," ","0.02","M","0.03"
"Acibenzolar S methyl","Cranberries","156","0"," "," "," ","0.03","M","0.15"
"Acibenzolar S methyl","Cranberries, Frozen","25","0"," "," "," ","0.03","M","0.15"
"Acibenzolar S methyl","Grapefruit","346","0"," "," "," ","0.005","M","0.02"
"Acibenzolar S methyl","Green Beans","567","0"," "," "," ","0.02","M","NT"
"Acibenzolar S methyl","Lettuce","756","0"," "," "," ","0.02","M","0.25"
"Acibenzolar S methyl","Pears","707","0"," "," "," ","0.015","M","0.03"
"Acibenzolar S methyl","Potatoes","708","0"," "," "," ","0.0038 - 0.012","M","NT"
"Acibenzolar S methyl","Spinach","707","0"," "," "," ","0.0038 - 0.04","M","1.0"
"Acibenzolar S methyl","Sweet Potatoes","266","0"," "," "," ","0.04","M","NT"
"Acibenzolar S methyl","Tomatoes","528","0"," "," "," ","0.0038 - 0.012","M","1.0"
"Acibenzolar S methyl","Tomatoes, Canned","189","0"," "," "," ","0.0038 - 0.012","M","1.0"
"Acifluorfen","Grapefruit","358","0"," "," "," ","0.05","M","NT"
"Acifluorfen","Milk","708","0"," "," "," ","0.05","M","NT"
"Acifluorfen","Olives, Canned","189","0"," "," "," ","0.05","M","NT"
"Acifluorfen","Strawberries","530","0"," "," "," ","0.05","M","0.05"
"Alachlor","Cranberries","156","0"," "," "," ","0.02","M","NT"
"Alachlor","Cranberries, Frozen","25","0"," "," "," ","0.02","M","NT"
"Alachlor","Eggs","294","0"," "," "," ","0.04","M","0.02"
"Alachlor","Grapefruit","704","0"," "," "," ","0.01 - 0.02","M","NT"
"Alachlor","Green Beans","567","0"," "," "," ","0.02","M","NT"
"Alachlor","Milk","708","0"," "," "," ","0.01","M","0.02"
"Alachlor","Olives, Canned","189","0"," "," "," ","0.01","M","NT"
"Alachlor","Potatoes","708","0"," "," "," ","0.0015","M","NT"
"Alachlor","Spinach","358","0"," "," "," ","0.0015","M","NT"
"Alachlor","Strawberries","530","0"," "," "," ","0.01","M","NT"
"Alachlor","Tomatoes","528","0"," "," "," ","0.0015","M","NT"
"Alachlor","Tomatoes, Canned","189","0"," "," "," ","0.0015","M","NT"
"Aldicarb","Cherries","30","0"," "," "," ","0.02","M","NT"
"Aldicarb","Cherries, Frozen","144","0"," "," "," ","0.02","M","NT"
"Aldicarb","Cranberries","156","0"," "," "," ","0.002","M","NT"
"Aldicarb","Cranberries, Frozen","25","0"," "," "," ","0.002","M","NT"
"Aldicarb","Cucumbers","754","0"," "," "," ","0.01","M","NT"
"Aldicarb","Grapefruit","704","0"," "," "," ","0.001 - 0.005","M","0.3"
"Aldicarb","Milk","708","0"," "," "," ","0.005","M","NT"
"Aldicarb","Olives, Canned","189","0"," "," "," ","0.005","M","NT"
"Aldicarb","Oranges","708","0"," "," "," ","0.01","M","0.3"
"Aldicarb","Potatoes","708","0"," "," "," ","0.001","M","1"
"Aldicarb","Spinach","707","0"," "," "," ","0.003 - 0.02","M","NT"
"Aldicarb","Strawberries","530","0"," "," "," ","0.005","M","NT"
"Aldicarb","Sweet Potatoes","532","0"," "," "," ","0.02","M","0.1"
"Aldicarb","Tomatoes","528","0"," "," "," ","0.001","M","NT"
"Aldicarb","Tomatoes, Canned","189","0"," "," "," ","0.001","M","NT"
"Aldicarb sulfone","Apple Sauce","190","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Apples","531","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Cherries","30","0"," "," "," ","0.025","M","NT"
"Aldicarb sulfone","Cherries, Frozen","144","0"," "," "," ","0.025","M","NT"
"Aldicarb sulfone","Cranberries","156","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Cranberries, Frozen","25","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Cucumbers","754","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Grapefruit","704","0"," "," "," ","0.0025 - 0.02","M","0.3"
"Aldicarb sulfone","Lettuce","756","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Milk","708","0"," "," "," ","0.0025","M","NT"
"Aldicarb sulfone","Olives, Canned","189","0"," "," "," ","0.0025","M","NT"
"Aldicarb sulfone","Oranges","708","0"," "," "," ","0.01","M","0.3"
"Aldicarb sulfone","Potatoes","708","0"," "," "," ","0.003","M","1"
"Aldicarb sulfone","Spinach","707","0"," "," "," ","0.003 - 0.025","M","NT"
"Aldicarb sulfone","Strawberries","530","0"," "," "," ","0.0025","M","NT"
"Aldicarb sulfone","Sweet Potatoes","532","0"," "," "," ","0.025","M","0.1"
"Aldicarb sulfone","Tomatoes","528","0"," "," "," ","0.003 - 0.01","M","NT"
"Aldicarb sulfone","Tomatoes, Canned","189","0"," "," "," ","0.003","M","NT"
"Aldicarb sulfoxide","Apple Sauce","190","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Apples","531","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Cherries","30","0"," "," "," ","0.051","M","NT"
"Aldicarb sulfoxide","Cherries, Frozen","144","0"," "," "," ","0.051","M","NT"
"Aldicarb sulfoxide","Cucumbers","754","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Grapefruit","358","0"," "," "," ","0.0025","M","0.3"
"Aldicarb sulfoxide","Lettuce","756","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Milk","708","0"," "," "," ","0.0025","M","NT"
"Aldicarb sulfoxide","Olives, Canned","189","0"," "," "," ","0.0025","M","NT"
"Aldicarb sulfoxide","Oranges","708","0"," "," "," ","0.01","M","0.3"
"Aldicarb sulfoxide","Potatoes","708","0"," "," "," ","0.0018 - 0.006","M","1"
"Aldicarb sulfoxide","Spinach","707","0"," "," "," ","0.0018 - 0.055","M","NT"
"Aldicarb sulfoxide","Strawberries","530","0"," "," "," ","0.0025","M","NT"
"Aldicarb sulfoxide","Sweet Potatoes","532","0"," "," "," ","0.055","M","0.1"
"Aldicarb sulfoxide","Tomatoes","528","0"," "," "," ","0.0018 - 0.006","M","NT"
"Aldicarb sulfoxide","Tomatoes, Canned","189","0"," "," "," ","0.0018","M","NT"
"Aldrin","Apple Sauce","190","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Apples","531","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Cherries","30","0"," "," "," ","0.041","M","0.3 AL"
"Aldrin","Cherries, Frozen","144","0"," "," "," ","0.041","M","0.3 AL"
"Aldrin","Cranberries","156","0"," "," "," ","0.005","M","0.05 AL"
"Aldrin","Cranberries, Frozen","25","0"," "," "," ","0.005","M","0.05 AL"
"Aldrin","Cucumbers","754","0"," "," "," ","0.005","M","0.1 AL"
"Aldrin","Eggs","294","0"," "," "," ","0.04","M","0.03 AL"
"Aldrin","Grapefruit","704","0"," "," "," ","0.01","M","0.02 AL"
"Aldrin","Grapes","708","0"," "," "," ","0.003","M","0.05 AL"
"Aldrin","Green Beans","567","0"," "," "," ","0.01","M","0.05 AL"
"Aldrin","Lettuce","756","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Milk","708","0"," "," "," ","0.01","M","0.3  AL"
"Aldrin","Olives, Canned","189","0"," "," "," ","0.01","M","0.05 AL"
"Aldrin","Oranges","708","0"," "," "," ","0.005","M","0.02 AL"
"Aldrin","Pears","707","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Potatoes","708","0"," "," "," ","0.001 - 0.003","M","0.1 AL"
"Aldrin","Spinach","707","0"," "," "," ","0.001 - 0.04","M","0.05 AL"
"Aldrin","Strawberries","530","0"," "," "," ","0.01","M","0.05 AL"
"Aldrin","Sweet Potatoes","468","0"," "," "," ","0.045","M","0.1 AL"
"Aldrin","Tomatoes","528","0"," "," "," ","0.001","M","0.05 AL"
"Aldrin","Tomatoes, Canned","189","0"," "," "," ","0.001","M","0.05 AL"
"Allethrin","Cherries","30","0"," "," "," ","0.08","M","NT"
"Allethrin","Cherries, Frozen","144","0"," "," "," ","0.08","M","NT"
"Allethrin","Cucumbers","754","0"," "," "," ","0.02 - 0.04","M","NT"
"Allethrin","Grapefruit","704","0"," "," "," ","0.01 - 0.05","M","NT"
"Allethrin","Grapes","708","0"," "," "," ","0.03","M","NT"
"Allethrin","Green Beans","567","0"," "," "," ","0.05","M","EX"
"Allethrin","Milk","708","0"," "," "," ","0.01","M","NT"
"Allethrin","Olives, Canned","189","0"," "," "," ","0.01","M","NT"
"Allethrin","Oranges","708","0"," "," "," ","0.02 - 0.04","M","NT"
"Allethrin","Spinach","349","0"," "," "," ","0.085","M","NT"
"Allethrin","Strawberries","530","0"," "," "," ","0.01","M","EX"
"Allethrin","Sweet Potatoes","532","0"," "," "," ","0.08","M","NT"
"Ametoctradin","Cranberries","156","0"," "," "," ","0.001","M","NT"
"Ametoctradin","Cranberries, Frozen","25","0"," "," "," ","0.001","M","NT"
"Ametoctradin","Grapefruit","704","1","0.1","0.017","0.017","0.001 - 0.0012","M","NT"
"Ametoctradin","Green Beans","567","0"," "," "," ","0.001","M","NT"
"Ametoctradin","Milk","708","0"," "," "," ","0.0012","M","NT"
"Ametoctradin","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"Ametoctradin","Potatoes","708","1","0.1","0.002","0.002","0.001","M","0.05"
"Ametoctradin","Spinach","358","214","59.8","0.002","13","0.001","M","50.0"
"Ametoctradin","Strawberries","530","0"," "," "," ","0.0012","M","NT"
"Ametoctradin","Tomatoes","528","14","2.7","0.002","0.011","0.001","M","1.5"
"Ametoctradin","Tomatoes, Canned","189","0"," "," "," ","0.001","M","1.5"
"Ametryn","Cranberries","156","0"," "," "," ","0.005","M","NT"
"Ametryn","Cranberries, Frozen","25","0"," "," "," ","0.005","M","NT"
"Ametryn","Cucumbers","754","0"," "," "," ","0.01","M","NT"
"Ametryn","Grapefruit","704","0"," "," "," ","0.0012 - 0.005","M","NT"
"Ametryn","Milk","708","0"," "," "," ","0.0012","M","NT"
"Ametryn","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"Ametryn","Oranges","708","0"," "," "," ","0.01","M","NT"
"Ametryn","Strawberries","530","0"," "," "," ","0.0012","M","NT"
"Amicarbazone","Grapefruit","358","0"," "," "," ","0.005","M","NT"
"Amicarbazone","Milk","708","0"," "," "," ","0.005","M","0.01"
"Amicarbazone","Olives, Canned","189","0"," "," "," ","0.005","M","NT"
"Amicarbazone","Strawberries","530","0"," "," "," ","0.005","M","NT"
"Asulam","Grapefruit","358","0"," "," "," ","0.0012","M","NT"
"Asulam","Milk","708","0"," "," "," ","0.0012","M","0.05"
"Asulam","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"Asulam","Strawberries","530","0"," "," "," ","0.0012","M","NT"
"Atrazine","Apple Sauce","190","0"," "," "," ","0.002","M","NT"
"Atrazine","Apples","531","0"," "," "," ","0.002","M","NT"
"Atrazine","Cranberries","156","0"," "," "," ","0.01","M","NT"
"Atrazine","Cranberries, Frozen","25","0"," "," "," ","0.01","M","NT"
"Atrazine","Cucumbers","754","0"," "," "," ","0.005","M","NT"
"Atrazine","Grapefruit","704","0"," "," "," ","0.0012 - 0.005","M","NT"
"Atrazine","Lettuce","756","1","0.1","0.004","0.004","0.002","M","0.25"
"Atrazine","Milk","708","0"," "," "," ","0.0012","M","0.02"
"Atrazine","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"Atrazine","Oranges","708","0"," "," "," ","0.005","M","NT"
"Atrazine","Potatoes","708","0"," "," "," ","0.001","M","NT"
"Atrazine","Spinach","707","6","0.8","0.002","0.002","0.001","M","0.25"
"Atrazine","Strawberries","530","0"," "," "," ","0.0012","M","NT"
"Atrazine","Sweet Potatoes","532","0"," "," "," ","0.001","M","NT"
"Atrazine","Tomatoes","528","0"," "," "," ","0.001","M","NT"
"Atrazine","Tomatoes, Canned","189","0"," "," "," ","0.001","M","NT"
"Azinphos ethyl","Grapefruit","358","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Milk","708","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Olives, Canned","189","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Strawberries","530","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Apple Sauce","190","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl","Apples","531","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl","Cherries","30","0"," "," "," ","0.004 - 0.008","M","2.0"
"Azinphos methyl","Cherries, Frozen","144","0"," "," "," ","0.004 - 0.008","M","2.0"
"Azinphos methyl","Cranberries","156","0"," "," "," ","0.01","M","0.5"
"Azinphos methyl","Cranberries, Frozen","25","0"," "," "," ","0.01","M","0.5"
"Azinphos methyl","Cucumbers","754","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Eggs","294","0"," "," "," ","0.04","M","NT"
"Azinphos methyl","Grapefruit","704","0"," "," "," ","0.005 - 0.02","M","NT"
"Azinphos methyl","Grapes","708","0"," "," "," ","0.015","M","NT"
"Azinphos methyl","Green Beans","567","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Lettuce","756","0"," "," "," ","0.01","M","NT"
"Azinphos methyl","Milk","708","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Olives, Canned","189","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Oranges","708","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Pears","707","2","0.3","0.025","0.025","0.015","M","1.5"
"Azinphos methyl","Potatoes","708","0"," "," "," ","0.012","M","NT"
"Azinphos methyl","Spinach","707","0"," "," "," ","0.005 - 0.012","M","NT"
"Azinphos methyl","Strawberries","530","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Sweet Potatoes","532","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Tomatoes","528","0"," "," "," ","0.012","M","NT"
"Azinphos methyl","Tomatoes, Canned","189","0"," "," "," ","0.012","M","NT"
"Azinphos methyl oxygen analog","Apple Sauce","190","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl oxygen analog","Apples","531","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl oxygen analog","Cherries","30","0"," "," "," ","0.0025","M","2.0"
"Azinphos methyl oxygen analog","Cherries, Frozen","144","0"," "," "," ","0.0025","M","2.0"
"Azinphos methyl oxygen analog","Cranberries","156","0"," "," "," ","0.015","M","0.5"
"Azinphos methyl oxygen analog","Cranberries, Frozen","25","0"," "," "," ","0.015","M","0.5"
"Azinphos methyl oxygen analog","Eggs","294","0"," "," "," ","0.04","M","NT"
"Azinphos methyl oxygen analog","Grapefruit","704","0"," "," "," ","0.0025 - 0.015","M","NT"
"Azinphos methyl oxygen analog","Grapes","708","0"," "," "," ","0.003","M","NT"
"Azinphos methyl oxygen analog","Green Beans","567","0"," "," "," ","0.003","M","NT"
"Azinphos methyl oxygen analog","Lettuce","756","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Milk","708","0"," "," "," ","0.0025","M","NT"
"Azinphos methyl oxygen analog","Olives, Canned","189","0"," "," "," ","0.0025","M","NT"
"Azinphos methyl oxygen analog","Pears","707","1","0.1","0.005","0.005","0.003","M","1.5"
"Azinphos methyl oxygen analog","Spinach","349","0"," "," "," ","0.005","M","NT"
"Azinphos methyl oxygen analog","Strawberries","530","0"," "," "," ","0.0025","M","NT"
"Azinphos methyl oxygen analog","Sweet Potatoes","532","0"," "," "," ","0.005","M","NT"
"Azoxystrobin","Apple Sauce","190","0"," "," "," ","0.0015","M","NT"
"Azoxystrobin","Apples","531","0"," "," "," ","0.0015","M","NT"
"Azoxystrobin","Cherries","30","0"," "," "," ","0.0051","M","2.0"
"Azoxystrobin","Cherries, Frozen","144","3","2.1","0.012","0.14","0.0051","M","1.5"
"Azoxystrobin","Cranberries","156","35","22.4","0.001","0.0075","0.001","M","5.0"
"Azoxystrobin","Cranberries, Frozen","25","1","4","0.001","0.001","0.001","M","5.0"
"Azoxystrobin","Cucumbers","754","110","14.6","0.002","0.039","0.002","M","0.3"
"Azoxystrobin","Grapefruit","704","1","0.1","0.013","0.013","0.0012 - 0.01","M","15.0"
"Azoxystrobin","Grapes","708","32","4.5","0.005","0.0485","0.003","M","2.0"
"Azoxystrobin","Green Beans","567","150","26.5","0.001","0.47","0.001","M","3.0"
"Azoxystrobin","Lettuce","756","8","1.1","0.002","0.16","0.0015","M","30.0"
"Azoxystrobin","Milk","708","0"," "," "," ","0.0012","M","0.006"
"Azoxystrobin","Olives, Canned","189","0"," "," "," ","0.0012","M","NT"
"Azoxystrobin","Oranges","708","2","0.3","0.0035","0.022","0.002","M","15.0"
"Azoxystrobin","Potatoes","708","197","27.8","0.002","1.2","0.001","M","8.0"
"Azoxystrobin","Spinach","707","37","5.2","0.002","4.4","0.001 - 0.01","M","30.0"
"Azoxystrobin","Strawberries","530","88","16.6","0.0013","0.64","0.0012","M","10.0"
"Azoxystrobin","Sweet Potatoes","532","0"," "," "," ","0.01","M","8.0"
"Azoxystrobin","Tomatoes","528","124","23.5","0.002","0.045","0.001","M","0.2"
"Azoxystrobin","Tomatoes, Canned","189","30","15.9","0.002","0.012","0.001","M","0.2"
"Benalaxyl","Grapefruit","358","0"," "," "," ","0.01","M","NT"
"Benalaxyl","Milk","708","0"," "," "," ","0.01","M","NT"
"Benalaxyl","Olives, Canned","189","0"," "," "," ","0.01","M","NT"
"Benalaxyl","Strawberries","530","0"," "," "," ","0.01","M","NT"
"Benazolin","Grapefruit","358","0"," "," "," ","0.05","M","NT"
"Benazolin","Milk","708","0"," "," "," ","0.05","M","NT"
"Benazolin","Olives, Canned","189","0"," "," "," ","0.05","M","NT"
"Benazolin","Strawberries","530","0"," "," "," ","0.05","M","NT"
"Bendiocarb","Apple Sauce","190","0"," "," "," ","0.003","M","SU"
"Bendiocarb","Apples","531","0"," "," "," ","0.003","M","SU"
"Bendiocarb","Cherries","30","0"," "," "," ","0.0095","M","SU"
"Bendiocarb","Cherries, Frozen","144","0"," "," "," ","0.0095","M","SU"
"Bendiocarb","Cranberries","156","0"," "," "," ","0.002","M","SU"
"Bendiocarb","Cranberries, Frozen","25","0"," "," "," ","0.002","M","SU"
"Bendiocarb","Cucumbers","754","0"," "," "," ","0.005","M","SU"
