105,"t","2016 Organic Survey: Released September 20, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
105,"t","Table 13.  Certified Organic Field Crops and Hay Harvested and Value of Sales:  2016 (continued)"
105,"t","[For meaning of abbreviations and symbols, see introductory text.]"
105,"h","","","","","","",""
105,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
105,"h","","","","","","",""
105,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
105,"h","","","","","","",""
105,"d","HAY, ALL DRY (TONS)",,,,,,
105,"d","",,,,,,
105,"d","United States",3956,490187,1432174,1818,699350,129922384
105,"d","",,,,,,
105,"d","Alabama",2,"(D)","(D)",-,-,-
105,"d","Arizona",5,900,5200,3,1200,264000
105,"d","Arkansas",6,832,1172,2,"(D)","(D)"
105,"d","California",116,33095,99085,90,70732,14734773
105,"d","Colorado",56,38288,92846,46,55535,11791926
105,"d","",,,,,,
105,"d","Connecticut",2,"(D)","(D)",1,"(D)","(D)"
105,"d","Georgia",3,"(D)",17,3,11,1707
105,"d","Idaho",102,58842,158843,82,115283,21520609
105,"d","Illinois",63,3303,9180,43,4063,538351
105,"d","Indiana",251,8820,29814,77,5888,1108270
105,"d","",,,,,,
105,"d","Iowa",295,11377,38979,168,14797,2145021
105,"d","Kansas",19,6120,10904,14,8740,1284001
105,"d","Kentucky",30,1739,3705,14,1253,183773
105,"d","Louisiana",12,1250,3584,1,"(D)","(D)"
105,"d","Maine",94,7866,17468,41,4213,587671
105,"d","",,,,,,
105,"d","Maryland",40,2282,6876,23,3526,504369
105,"d","Massachusetts",13,1015,1563,3,141,21600
105,"d","Michigan",117,6982,23050,46,7768,1318196
105,"d","Minnesota",261,22407,81004,132,30567,4491831
105,"d","Missouri",46,2011,4951,21,1479,242327
105,"d","",,,,,,
105,"d","Montana",28,10274,20614,21,11918,1649850
105,"d","Nebraska",65,12409,47765,58,37726,4895906
105,"d","Nevada",14,"(D)",39112,14,32324,8216802
105,"d","New Hampshire",30,1304,1653,18,832,"(D)"
105,"d","New Jersey",6,"(D)",192,4,17,2044
105,"d","",,,,,,
105,"d","New Mexico",17,1626,5178,15,3352,745070
105,"d","New York",527,58796,118914,163,23289,3620036
105,"d","North Carolina",16,2534,8647,7,4820,585285
105,"d","North Dakota",29,8412,19594,16,11628,1618836
105,"d","Ohio",285,13349,39595,128,14841,2596784
105,"d","",,,,,,
105,"d","Oklahoma",7,2822,7201,4,2768,455937
105,"d","Oregon",95,38980,157881,71,115028,25218501
105,"d","Pennsylvania",315,19851,63278,103,13493,2733485
105,"d","Rhode Island",1,"(D)","(D)",1,"(D)","(D)"
105,"d","South Carolina",1,"(D)","(D)",-,-,-
105,"d","",,,,,,
105,"d","South Dakota",39,11101,28431,24,12746,1771097
105,"d","Tennessee",4,190,"(D)",1,"(D)","(D)"
105,"d","Texas",24,9939,35880,16,18838,4023332
105,"d","Utah",9,2318,7912,5,6175,"(D)"
105,"d","Vermont",144,16402,42379,44,10409,1513041
105,"d","",,,,,,
105,"d","Virginia",18,3529,7390,9,4815,435990
105,"d","Washington",80,7546,21998,42,9304,1708180
105,"d","West Virginia",4,336,"(D)",1,"(D)","(D)"
105,"d","Wisconsin",651,45025,153942,233,26993,3401199
105,"d","Wyoming",14,6004,11902,10,11050,2121773
105,"d","",,,,,,
105,"d","HAY, ALFALFA AND ALFALFA MIXTURES",,,,,,
105,"d"," DRY (TONS)",,,,,,
105,"d","",,,,,,
105,"d","United States",2385,290809,998322,1151,546881,106548248
105,"d","",,,,,,
105,"d","Arizona",5,900,5200,3,1200,264000
105,"d","California",65,15794,63907,51,47931,11221654
105,"d","Colorado",41,19710,63540,35,46004,10255074
105,"d","Connecticut",1,"(D)","(D)",-,-,-
105,"d","Idaho",96,56955,152425,76,110405,20734245
105,"d","",,,,,,
105,"d","Illinois",44,2087,5313,29,2459,360378
105,"d","Indiana",204,6676,24051,59,4390,850803
105,"d","Iowa",230,7820,30140,129,12086,1836276
105,"d","Kansas",11,528,1830,6,"(D)","(D)"
105,"d","Kentucky",11,489,1137,7,545,80161
105,"d","Maine",10,891,1169,7,769,94859
105,"c",""
105,"c","--continued"
