106,"t","2016 Organic Survey: Released September 20, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
106,"t","Table 13.  Certified Organic Field Crops and Hay Harvested and Value of Sales:  2016 (continued)"
106,"t","[For meaning of abbreviations and symbols, see introductory text.]"
106,"h","","","","","","",""
106,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
106,"h","","","","","","",""
106,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
106,"h","","","","","","",""
106,"d","HAY, ALFALFA AND ALFALFA MIXTURES",,,,,,
106,"d"," DRY (TONS) - Con.",,,,,,
106,"d","",,,,,,
106,"d","Maryland",21,1419,4881,14,2855,404785
106,"d","Massachusetts",3,"(D)",211,-,-,-
106,"d","Michigan",98,5420,18569,38,6588,1127506
106,"d","Minnesota",199,16814,65011,90,24158,3838870
106,"d","Missouri",18,477,1318,9,622,82534
106,"d","",,,,,,
106,"d","Montana",18,5883,12295,15,5436,883537
106,"d","Nebraska",57,10655,44049,52,35630,4592342
106,"d","Nevada",14,8927,38350,14,"(D)","(D)"
106,"d","New Hampshire",11,407,503,8,352,"(D)"
106,"d","New Mexico",12,923,3356,12,1876,368461
106,"d","",,,,,,
106,"d","New York",177,16933,46517,62,10733,1720395
106,"d","North Carolina",5,1120,4770,1,"(D)","(D)"
106,"d","North Dakota",23,6437,16166,13,11096,1517021
106,"d","Ohio",173,7989,25640,69,8833,1819451
106,"d","Oklahoma",3,870,2280,2,"(D)","(D)"
106,"d","",,,,,,
106,"d","Oregon",70,30068,133420,61,104166,22977535
106,"d","Pennsylvania",179,7638,28029,60,7527,1619480
106,"d","South Dakota",37,9695,25925,22,12226,1685474
106,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)"
106,"d","Texas",8,4370,21763,7,10830,2065646
106,"d","",,,,,,
106,"d","Utah",9,"(D)","(D)",5,6175,"(D)"
106,"d","Vermont",24,2601,7629,8,1548,268985
106,"d","Virginia",4,71,248,2,"(D)","(D)"
106,"d","Washington",31,2945,12797,22,7626,1476106
106,"d","West Virginia",1,"(D)","(D)",-,-,-
106,"d","",,,,,,
106,"d","Wisconsin",462,32389,118164,156,18839,2596183
106,"d","Wyoming",9,2182,7906,6,7236,1531684
106,"d","",,,,,,
106,"d","HAY, OTHER DRY (TONS)",,,,,,
106,"d","",,,,,,
106,"d","United States",1894,199378,433852,807,152469,23374136
106,"d","",,,,,,
106,"d","Alabama",2,"(D)","(D)",-,-,-
106,"d","Arkansas",6,832,1172,2,"(D)","(D)"
106,"d","California",66,17301,35178,51,22801,3513119
106,"d","Colorado",19,18578,29306,14,9531,1536852
106,"d","Connecticut",2,"(D)","(D)",1,"(D)","(D)"
106,"d","",,,,,,
106,"d","Georgia",3,"(D)",17,3,11,1707
106,"d","Idaho",14,1887,6418,10,4878,786364
106,"d","Illinois",28,1216,3867,20,1604,177973
106,"d","Indiana",60,2144,5763,20,1498,257467
106,"d","Iowa",85,3557,8839,50,2711,308745
106,"d","",,,,,,
106,"d","Kansas",13,5592,9074,10,"(D)","(D)"
106,"d","Kentucky",22,1250,2568,9,708,103612
106,"d","Louisiana",12,1250,3584,1,"(D)","(D)"
106,"d","Maine",84,6975,16299,34,3444,492812
106,"d","Maryland",25,863,1995,12,671,99584
106,"d","",,,,,,
106,"d","Massachusetts",11,"(D)",1352,3,141,21600
106,"d","Michigan",33,1562,4481,14,1180,190690
106,"d","Minnesota",87,5593,15993,49,6409,652961
106,"d","Missouri",32,1534,3633,13,857,159793
106,"d","Montana",16,4391,8319,9,6482,766313
106,"d","",,,,,,
106,"d","Nebraska",14,1754,3716,8,2096,303564
106,"d","Nevada",4,"(D)",762,2,"(D)","(D)"
106,"d","New Hampshire",21,897,1150,12,480,96142
106,"d","New Jersey",6,"(D)",192,4,17,2044
106,"d","New Mexico",9,703,1822,7,1476,376609
106,"d","",,,,,,
106,"d","New York",385,41863,72397,109,12556,1899641
106,"d","North Carolina",13,1414,3877,6,"(D)","(D)"
106,"d","North Dakota",16,1975,3428,5,532,101815
106,"d","Ohio",125,5360,13955,65,6008,777333
106,"d","Oklahoma",6,1952,4921,4,"(D)","(D)"
106,"c",""
106,"c","--continued"
