Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"1-Naphthol","Apple Sauce","570","4","0.7","0.016","0.074","0.015","M","12"
"1-Naphthol","Asparagus","298","0"," "," "," ","0.015","M","15"
"1-Naphthol","Cranberries","311","9","2.9","0.01","0.1","0.01","M","3.0"
"1-Naphthol","Cranberries, Frozen","426","2","0.5","0.033","0.11","0.01","M","3.0"
"1-Naphthol","Grapefruit","255","0"," "," "," ","0.01","M","10"
"1-Naphthol","Honey","315","0"," "," "," ","0.2","M","NT"
"1-Naphthol","Kale Greens","708","3","0.4","0.0416","0.1492","0.025","M","10"
"1-Naphthol","Lettuce","378","0"," "," "," ","0.015","M","10"
"1-Naphthol","Mangoes","87","0"," "," "," ","0.01","M","NT"
"1-Naphthol","Plums, Dried (Prunes)","191","0"," "," "," ","0.015","M","10"
"1-Naphthol","Snap Peas","710","0"," "," "," ","0.025","M","10"
"2,4-D","Water, Bottled","735","0"," "," "," ","6.8 - 45","T",""
"2,4-dimethylphenyl formamide (2,4-DMPF)","Grapefruit","271","0"," "," "," ","0.005","M","NT"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Honey","315","238","75.6","0.003","0.082","0.003","M","0.2"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Mangoes","90","0"," "," "," ","0.0025 - 0.005","M","NT"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Milk","711","0"," "," "," ","0.005","M","0.03"
"2,4-dimethylphenyl formamide (2,4-DMPF)","Olives, Canned","693","0"," "," "," ","0.005","M","NT"
"2,6-dichlorobenzamide","Honey","315","2","0.6","0.02","0.074","0.008","M","NT"
"2,6-DIPN","Grapefruit","271","0"," "," "," ","0.01","M","NT"
"2,6-DIPN","Mangoes","60","0"," "," "," ","0.01","M","NT"
"2,6-DIPN","Milk","711","0"," "," "," ","0.01","M","0.02"
"2,6-DIPN","Olives, Canned","754","0"," "," "," ","0.0025 - 0.01","M","NT"
