Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"1-Naphthol","Apple Juice","379","0"," "," "," ","0.015","M","12"
"1-Naphthol","Baby Food - Peas","378","0"," "," "," ","0.01","M","10"
"1-Naphthol","Carrots","712","0"," "," "," ","0.017 - 0.057","M","2.0"
"1-Naphthol","Green Beans","347","0"," "," "," ","0.06","M","10"
"1-Naphthol","Mushrooms","503","0"," "," "," ","0.015","M","NT"
"1-Naphthol","Nectarines","543","4","0.7","0.025","2.0891","0.015","M","10"
"1-Naphthol","Summer Squash","346","0"," "," "," ","0.02","M","3.0"
"1-Naphthol","Water, Finished","7","0"," "," "," ","30","T",""
"1-Naphthol","Water, Groundwater","12","0"," "," "," ","30","T",""
"1-Naphthol","Water, Untreated","7","0"," "," "," ","30","T",""
"2,4,5-T","Water, Finished","50","0"," "," "," ","0.84 - 15","T",""
"2,4,5-T","Water, Groundwater","14","0"," "," "," ","0.84 - 15","T",""
"2,4,5-T","Water, Untreated","50","0"," "," "," ","0.84 - 15","T",""
"2,4,5-TP","Water, Finished","50","0"," "," "," ","0.68 - 15","T",""
"2,4,5-TP","Water, Groundwater","14","0"," "," "," ","0.68 - 15","T",""
"2,4,5-TP","Water, Untreated","50","0"," "," "," ","0.68 - 15","T",""
"2,4-D","Water, Finished","50","49","98","1.08","84","0.65 - 2.5","T",""
"2,4-D","Water, Groundwater","14","2","14.3","4.2","9.5","0.65 - 2.5","T",""
"2,4-D","Water, Untreated","50","49","98","1.08","99","0.65 - 2.5","T",""
"2,4-DB","Water, Finished","50","0"," "," "," ","6 - 39","T",""
"2,4-DB","Water, Groundwater","14","0"," "," "," ","6 - 39","T",""
"2,4-DB","Water, Untreated","50","0"," "," "," ","6 - 39","T",""
"3-Hydroxycarbofuran","Apple Juice","379","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Baby Food - Applesauce","379","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Baby Food - Peas","378","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Bananas","708","0"," "," "," ","0.002","M","0.1"
"3-Hydroxycarbofuran","Broccoli","708","1","0.1","0.017","0.017","0.01","M","NT"
"3-Hydroxycarbofuran","Butter","739","0"," "," "," ","0.0048","M","NT"
"3-Hydroxycarbofuran","Carrots","712","0"," "," "," ","0.03","M","NT"
"3-Hydroxycarbofuran","Cauliflower","532","0"," "," "," ","0.0012 - 0.008","M","NT"
"3-Hydroxycarbofuran","Celery","708","0"," "," "," ","0.0012 - 0.01","M","NT"
"3-Hydroxycarbofuran","Fish, Salmon","323","0"," "," "," ","0.003","M","NA"
"3-Hydroxycarbofuran","Grape Juice","176","0"," "," "," ","0.003","M","0.4"
"3-Hydroxycarbofuran","Green Beans","378","1","0.3","0.0042","0.0042","0.002","M","NT"
"3-Hydroxycarbofuran","Infant Formula, Dairy-based","177","0"," "," "," ","0.0012","M","0.1"
"3-Hydroxycarbofuran","Infant Formula, Soy-based","179","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Mushrooms","532","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Nectarines","543","0"," "," "," ","0.05","M","NT"
"3-Hydroxycarbofuran","Peaches","285","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Plums","507","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Raspberries","652","0"," "," "," ","0.002 - 0.01","M","NT"
"3-Hydroxycarbofuran","Raspberries, Frozen","53","0"," "," "," ","0.002 - 0.01","M","NT"
"3-Hydroxycarbofuran","Summer Squash","709","0"," "," "," ","0.01","M","0.8"
"3-Hydroxycarbofuran","Water, Finished","50","0"," "," "," ","3 - 15","T",""
"3-Hydroxycarbofuran","Water, Groundwater","14","0"," "," "," ","3 - 15","T",""
"3-Hydroxycarbofuran","Water, Untreated","50","0"," "," "," ","3 - 15","T",""
"3-Hydroxycarbofuran","Winter Squash","187","0"," "," "," ","0.006","M","0.8"
"5-Hydroxythiabendazole","Celery","346","0"," "," "," ","0.005","M","NT"
"5-Hydroxythiabendazole","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","0.1"
"5-Hydroxythiabendazole","Plums","507","0"," "," "," ","0.005","M","NT"
"5-Hydroxythiabendazole","Raspberries","351","0"," "," "," ","0.005","M","NT"
"5-Hydroxythiabendazole","Raspberries, Frozen","10","0"," "," "," ","0.005","M","NT"
"5-Hydroxythiabendazole","Summer Squash","363","0"," "," "," ","0.005","M","NT"
"5-Hydroxythiabendazole","Winter Squash","187","0"," "," "," ","0.003","M","NT"
"Abamectin","Celery","346","0"," "," "," ","0.02","M","0.10"
"Abamectin","Infant Formula, Soy-based","179","0"," "," "," ","0.02","M","0.01"
"Abamectin","Plums","507","0"," "," "," ","0.02","M","0.09"
"Abamectin","Raspberries","351","1","0.3","0.095","0.095","0.02","M","0.01"
"Abamectin","Raspberries, Frozen","10","0"," "," "," ","0.02","M","0.01"
"Abamectin","Summer Squash","363","0"," "," "," ","0.02","M","0.01"
"Abamectin","Winter Squash","187","0"," "," "," ","0.012","M","0.01"
"Acephate","Apple Juice","379","0"," "," "," ","0.03","M","0.02"
"Acephate","Baby Food - Applesauce","379","0"," "," "," ","0.01","M","0.02"
"Acephate","Baby Food - Peas","378","0"," "," "," ","0.03","M","0.02"
"Acephate","Bananas","708","0"," "," "," ","0.075","M","0.02"
"Acephate","Broccoli","649","0"," "," "," ","0.05","M","0.02"
"Acephate","Butter","740","0"," "," "," ","0.0018 - 0.012","M","0.02"
"Acephate","Carrots","712","0"," "," "," ","0.1","M","0.02"
"Acephate","Cauliflower","532","16","3","0.0053","0.097","0.005","M","2.0"
"Acephate","Celery","708","156","22","0.0025","0.45","0.0015 - 0.01","M","10"
"Acephate","Grape Juice","176","0"," "," "," ","0.03","M","0.02"
"Acephate","Green Beans","378","98","25.9","0.03","2.6","0.03","M","3.0"
"Acephate","Infant Formula, Dairy-based","177","0"," "," "," ","0.0015","M","0.1"
"Acephate","Infant Formula, Soy-based","179","0"," "," "," ","0.01","M","1.0"
"Acephate","Mushrooms","532","0"," "," "," ","0.03","M","0.02"
"Acephate","Nectarines","271","0"," "," "," ","0.04","M","0.02"
"Acephate","Peaches","285","0"," "," "," ","0.01","M","0.02"
"Acephate","Plums","507","0"," "," "," ","0.01","M","0.02"
"Acephate","Raspberries","652","0"," "," "," ","0.01 - 0.075","M","0.02"
"Acephate","Raspberries, Frozen","53","0"," "," "," ","0.01 - 0.075","M","0.02"
"Acephate","Summer Squash","709","2","0.3","0.011","0.039","0.01 - 0.03","M","0.02"
"Acephate","Winter Squash","187","0"," "," "," ","0.006","M","0.02"
"Acequinocyl","Green Beans","347","0"," "," "," ","0.2","M","0.25"
"Acetamiprid","Apple Juice","379","57","15","0.003","0.019","0.003","M","1.0"
"Acetamiprid","Baby Food - Applesauce","379","89","23.5","0.011","0.053","0.01","M","1.0"
"Acetamiprid","Baby Food - Peas","378","0"," "," "," ","0.02","M","0.40"
"Acetamiprid","Bananas","708","0"," "," "," ","0.002","M","0.01"
"Acetamiprid","Broccoli","708","0"," "," "," ","0.01","M","1.20"
"Acetamiprid","Butter","756","0"," "," "," ","0.0011","M","0.01"
"Acetamiprid","Carrots","712","0"," "," "," ","0.002","M","0.01"
"Acetamiprid","Cauliflower","532","1","0.2","0.002","0.002","0.001","M","1.20"
"Acetamiprid","Celery","708","77","10.9","0.002","0.061","0.001 - 0.003","M","3.00"
"Acetamiprid","Fish, Salmon","293","0"," "," "," ","0.002","M","0.01"
"Acetamiprid","Grape Juice","148","0"," "," "," ","0.003","M","0.35"
"Acetamiprid","Green Beans","378","2","0.5","0.0097","0.01","0.002","M","0.60"
"Acetamiprid","Infant Formula, Dairy-based","177","0"," "," "," ","0.001","M","0.30"
"Acetamiprid","Infant Formula, Soy-based","179","0"," "," "," ","0.0025","M","0.03"
"Acetamiprid","Mushrooms","532","0"," "," "," ","0.003","M","0.01"
"Acetamiprid","Nectarines","543","73","13.4","0.0167","0.2317","0.01","M","1.20"
"Acetamiprid","Peaches","285","15","5.3","0.011","0.14","0.01","M","1.20"
"Acetamiprid","Plums","507","5","1","0.0029","0.012","0.0025","M","0.20"
"Acetamiprid","Raspberries","652","36","5.5","0.0031","1.5","0.002 - 0.0025","M","1.6"
"Acetamiprid","Raspberries, Frozen","53","0"," "," "," ","0.002 - 0.0025","M","1.6"
"Acetamiprid","Summer Squash","709","7","1","0.0025","0.025","0.0025 - 0.02","M","0.50"
"Acetamiprid","Water, Finished","50","0"," "," "," ","1.7 - 7.5","T",""
"Acetamiprid","Water, Groundwater","14","0"," "," "," ","1.7 - 7.5","T",""
"Acetamiprid","Water, Untreated","50","0"," "," "," ","1.7 - 7.5","T",""
"Acetamiprid","Winter Squash","187","4","2.1","0.0025","0.0057","0.0015","M","0.50"
"Acetochlor","Baby Food - Peas","378","0"," "," "," ","0.02","M","0.05"
"Acetochlor","Fish, Salmon","352","0"," "," "," ","0.005","M","NA"
"Acetochlor","Grape Juice","176","0"," "," "," ","0.005","M","NT"
"Acetochlor","Green Beans","378","0"," "," "," ","0.005","M","NT"
"Acetochlor","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","1.0"
"Acetochlor","Water, Finished","50","0"," "," "," ","9.2 - 10","T",""
"Acetochlor","Water, Groundwater","14","0"," "," "," ","9.2 - 10","T",""
"Acetochlor","Water, Untreated","50","0"," "," "," ","9.2 - 10","T",""
"Acetochlor ethanesulfonic acid (ESA)","Water, Finished","50","36","72","2.7","350","1.6 - 9","T",""
"Acetochlor ethanesulfonic acid (ESA)","Water, Groundwater","14","2","14.3","2.7","39","1.6 - 9","T",""
"Acetochlor ethanesulfonic acid (ESA)","Water, Untreated","50","38","76","2.7","400","1.6 - 9","T",""
"Acetochlor oxanilic acid (OA)","Water, Finished","50","26","52","2.3","890","1.4 - 10","T",""
"Acetochlor oxanilic acid (OA)","Water, Groundwater","14","0"," "," "," ","1.4 - 10","T",""
"Acetochlor oxanilic acid (OA)","Water, Untreated","50","24","48","2.3","890","1.4 - 10","T",""
