Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"1-Naphthol","Apples","679","7","1","0.021","0.43","0.015","M","12"
"1-Naphthol","Grapefruit","87","0"," "," "," ","0.01","M","10"
"1-Naphthol","Grapes","708","0"," "," "," ","0.05","M","10"
"1-Naphthol","Green Beans","659","0"," "," "," ","0.006","M","10"
"1-Naphthol","Peanut Butter","315","0"," "," "," ","0.5","M","0.05"
"1-Naphthol","Pears","705","0"," "," "," ","0.05","M","12"
"1-Naphthol","Sweet Corn, Fresh","218","0"," "," "," ","0.01","M","0.1"
"1-Naphthol","Sweet Corn, Frozen","45","0"," "," "," ","0.01","M","0.1"
"1-Naphthol","Watermelon","370","0"," "," "," ","0.015","M","3.0"
"2,4,5-T","Grapefruit","90","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Nectarines","578","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Strawberries","706","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Sweet Corn, Fresh","250","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Sweet Corn, Frozen","20","0"," "," "," ","0.1","M","NT"
"2,4-D","Grapefruit","90","0"," "," "," ","0.05","M","3.0"
"2,4-D","Nectarines","578","0"," "," "," ","0.05","M","0.05"
"2,4-D","Strawberries","706","0"," "," "," ","0.05","M","0.05"
"2,4-D","Sweet Corn, Fresh","250","0"," "," "," ","0.05","M","0.05"
"2,4-D","Sweet Corn, Frozen","20","0"," "," "," ","0.05","M","0.05"
"2,4-DB","Grapefruit","90","0"," "," "," ","0.1","M","NT"
"2,4-DB","Nectarines","578","0"," "," "," ","0.1","M","NT"
"2,4-DB","Strawberries","706","0"," "," "," ","0.1","M","NT"
"2,4-DB","Sweet Corn, Fresh","250","0"," "," "," ","0.1","M","NT"
"2,4-DB","Sweet Corn, Frozen","20","0"," "," "," ","0.1","M","NT"
"3-Hydroxycarbofuran","Apples","708","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Cherries","232","0"," "," "," ","0.002","M","NT"
"3-Hydroxycarbofuran","Cherries, Frozen","453","2","0.4","0.003","0.0043","0.002","M","NT"
"3-Hydroxycarbofuran","Cucumbers","378","0"," "," "," ","0.01","M","0.4"
"3-Hydroxycarbofuran","Grapefruit","177","0"," "," "," ","0.0012 - 0.004","M","NT"
"3-Hydroxycarbofuran","Grapes","708","0"," "," "," ","0.05","M","0.4"
"3-Hydroxycarbofuran","Green Beans","754","1","0.1","0.0083","0.0083","0.002","M","NT"
"3-Hydroxycarbofuran","Lettuce","378","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Nectarines","578","0"," "," "," ","0.0012 - 0.0025","M","NT"
"3-Hydroxycarbofuran","Oranges","707","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Peaches","362","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Peanut Butter","315","0"," "," "," ","0.025","M","NT"
"3-Hydroxycarbofuran","Pears","705","0"," "," "," ","0.05","M","NT"
"3-Hydroxycarbofuran","Potatoes","707","0"," "," "," ","0.0012 - 0.004","M","2"
"3-Hydroxycarbofuran","Spinach","708","0"," "," "," ","0.0012 - 0.002","M","NT"
"3-Hydroxycarbofuran","Strawberries","706","1","0.1","0.01","0.01","0.0012 - 0.0025","M","0.5"
"3-Hydroxycarbofuran","Sweet Corn, Fresh","468","0"," "," "," ","0.002 - 0.0025","M","1.0"
"3-Hydroxycarbofuran","Sweet Corn, Frozen","65","0"," "," "," ","0.002 - 0.0025","M","1.0"
"3-Hydroxycarbofuran","Tomatoes","708","0"," "," "," ","0.0012 - 0.004","M","NT"
"3-Hydroxycarbofuran","Watermelon","370","0"," "," "," ","0.003","M","0.4"
"5-Hydroxythiabendazole","Grapefruit","90","2","2.2","0.0016","0.0016","0.0012","M","10.0"
"5-Hydroxythiabendazole","Nectarines","578","0"," "," "," ","0.0012 - 0.0025","M","NT"
"5-Hydroxythiabendazole","Strawberries","706","0"," "," "," ","0.0012 - 0.0025","M","5.0"
"5-Hydroxythiabendazole","Sweet Corn, Fresh","250","0"," "," "," ","0.0025","M","0.01"
"5-Hydroxythiabendazole","Sweet Corn, Frozen","20","0"," "," "," ","0.0025","M","0.01"
"Abamectin","Grapefruit","90","0"," "," "," ","0.02","M","0.02"
"Abamectin","Grapes","708","0"," "," "," ","0.05","M","0.02"
"Abamectin","Lettuce","157","0"," "," "," ","0.005","M","0.10"
"Abamectin","Nectarines","578","0"," "," "," ","0.02","M","0.09"
"Abamectin","Pears","705","0"," "," "," ","0.05","M","0.02"
"Abamectin","Strawberries","706","9","1.3","0.022","0.06","0.02","M","0.05"
"Abamectin","Sweet Corn, Fresh","250","0"," "," "," ","0.02","M","0.01"
"Abamectin","Sweet Corn, Frozen","20","0"," "," "," ","0.02","M","0.01"
"Acephate","Apples","708","0"," "," "," ","0.003 - 0.03","M","0.02"
"Acephate","Cherries","232","0"," "," "," ","0.15","M","0.02"
"Acephate","Cherries, Frozen","453","0"," "," "," ","0.15","M","0.02"
"Acephate","Cucumbers","335","2","0.6","0.078","0.46","0.05","M","0.02"
"Acephate","Grapefruit","177","0"," "," "," ","0.005 - 0.03","M","0.02"
"Acephate","Grapes","708","0"," "," "," ","0.05","M","0.02"
"Acephate","Green Beans","754","111","14.7","0.03","2.2","0.03","M","3.0"
"Acephate","Lettuce","378","11","2.9","0.003","0.075","0.003","M","10"
"Acephate","Nectarines","578","0"," "," "," ","0.005","M","0.02"
"Acephate","Oranges","687","0"," "," "," ","0.05","M","0.02"
"Acephate","Peaches","362","0"," "," "," ","0.01","M","0.02"
"Acephate","Peanut Butter","315","0"," "," "," ","0.05","M","0.2"
"Acephate","Pears","705","0"," "," "," ","0.05","M","0.02"
"Acephate","Potatoes","707","1","0.1","0.0025","0.0025","0.0015","M","0.02"
"Acephate","Spinach","693","4","0.6","0.0053","0.015","0.005 - 0.15","M","0.02"
"Acephate","Strawberries","706","0"," "," "," ","0.005","M","0.02"
"Acephate","Sweet Corn, Fresh","468","0"," "," "," ","0.005 - 0.03","M","0.02"
"Acephate","Sweet Corn, Frozen","65","0"," "," "," ","0.005 - 0.03","M","0.02"
"Acephate","Tomatoes","708","1","0.1","0.19","0.19","0.0015","M","0.02"
"Acephate","Watermelon","370","4","1.1","0.045","0.93","0.03","M","0.02"
"Acequinocyl","Nectarines","574","1","0.2","0.082","0.082","0.01 - 0.02","M","NT"
"Acequinocyl","Strawberries","532","89","16.7","0.01","3.7","0.005 - 0.01","M","0.50"
"Acequinocyl","Sweet Corn, Fresh","250","0"," "," "," ","0.005 - 0.01","M","NT"
"Acequinocyl","Sweet Corn, Frozen","20","0"," "," "," ","0.005 - 0.01","M","NT"
"Acetamiprid","Apples","708","196","27.7","0.002","0.38","0.0015","M","1.0"
"Acetamiprid","Cherries","232","43","18.5","0.0024","0.2","0.002","M","1.20"
"Acetamiprid","Cherries, Frozen","453","248","54.7","0.002","0.26","0.002","M","1.20"
"Acetamiprid","Cucumbers","378","6","1.6","0.013","0.032","0.01","M","0.50"
"Acetamiprid","Grapefruit","177","0"," "," "," ","0.0012 - 0.002","M","1.0"
"Acetamiprid","Grapes","708","59","8.3","0.0167","0.6325","0.01","M","0.35"
"Acetamiprid","Green Beans","754","7","0.9","0.0021","0.073","0.002","M","0.60"
"Acetamiprid","Lettuce","378","25","6.6","0.002","0.03","0.0015","M","3.00"
"Acetamiprid","Nectarines","578","129","22.3","0.0025","0.27","0.0012 - 0.0025","M","1.20"
"Acetamiprid","Oranges","707","2","0.3","0.01","0.012","0.01","M","1.0"
"Acetamiprid","Peaches","362","61","16.9","0.011","0.14","0.01","M","1.20"
"Acetamiprid","Peanut Butter","315","0"," "," "," ","0.025","M","NT"
"Acetamiprid","Pears","705","105","14.9","0.0167","0.2972","0.01","M","1.0"
"Acetamiprid","Potatoes","707","0"," "," "," ","0.001","M","0.01"
"Acetamiprid","Spinach","708","46","6.5","0.002","0.51","0.001 - 0.002","M","3.00"
"Acetamiprid","Strawberries","706","222","31.4","0.0013","0.8","0.0012 - 0.0025","M","0.60"
"Acetamiprid","Sweet Corn, Fresh","468","0"," "," "," ","0.002 - 0.0025","M","0.01"
"Acetamiprid","Sweet Corn, Frozen","65","0"," "," "," ","0.002 - 0.0025","M","0.01"
"Acetamiprid","Tomatoes","708","80","11.3","0.002","0.18","0.001","M","0.20"
"Acetamiprid","Watermelon","370","9","2.4","0.002","0.005","0.0015","M","0.50"
"Acetochlor","Apples","708","0"," "," "," ","0.005","M","NT"
