Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"Acetochlor","Grapefruit","177","0"," "," "," ","0.005","M","NT"
"Acetochlor","Green Beans","754","0"," "," "," ","0.005","M","NT"
"Acetochlor","Lettuce","378","0"," "," "," ","0.005","M","NT"
"Acetochlor","Nectarines","578","0"," "," "," ","0.005","M","NT"
"Acetochlor","Peanut Butter","315","0"," "," "," ","0.2","M","0.20"
"Acetochlor","Strawberries","706","0"," "," "," ","0.005","M","NT"
"Acetochlor","Sweet Corn, Fresh","468","0"," "," "," ","0.005","M","0.05"
"Acetochlor","Sweet Corn, Frozen","65","0"," "," "," ","0.005","M","0.05"
"Acetochlor","Watermelon","370","0"," "," "," ","0.005","M","NT"
"Acibenzolar S methyl","Apples","708","0"," "," "," ","0.02","M","0.05"
"Acibenzolar S methyl","Grapefruit","87","0"," "," "," ","0.005","M","0.05"
"Acibenzolar S methyl","Green Beans","754","0"," "," "," ","0.02","M","NT"
"Acibenzolar S methyl","Lettuce","378","0"," "," "," ","0.02","M","0.25"
"Acibenzolar S methyl","Pears","705","0"," "," "," ","0.015","M","0.05"
"Acibenzolar S methyl","Potatoes","687","0"," "," "," ","0.0038","M","NT"
"Acibenzolar S methyl","Spinach","708","0"," "," "," ","0.0038 - 0.04","M","1.0"
"Acibenzolar S methyl","Sweet Corn, Fresh","218","0"," "," "," ","0.005","M","NT"
"Acibenzolar S methyl","Sweet Corn, Frozen","45","0"," "," "," ","0.005","M","NT"
"Acibenzolar S methyl","Tomatoes","708","0"," "," "," ","0.0038","M","1.0"
"Acibenzolar S methyl","Watermelon","370","0"," "," "," ","0.02","M","NT"
"Acifluorfen","Grapefruit","90","0"," "," "," ","0.05","M","NT"
"Acifluorfen","Nectarines","578","0"," "," "," ","0.05","M","NT"
"Acifluorfen","Strawberries","706","0"," "," "," ","0.05","M","0.05"
"Acifluorfen","Sweet Corn, Fresh","250","0"," "," "," ","0.05","M","NT"
"Acifluorfen","Sweet Corn, Frozen","20","0"," "," "," ","0.05","M","NT"
"Acrinathrin","Apples","413","0"," "," "," ","0.01","M","NT"
"Acrinathrin","Watermelon","370","0"," "," "," ","0.01","M","NT"
"Alachlor","Grapefruit","177","0"," "," "," ","0.01 - 0.02","M","NT"
"Alachlor","Green Beans","754","0"," "," "," ","0.02","M","NT"
"Alachlor","Nectarines","578","0"," "," "," ","0.005 - 0.01","M","NT"
"Alachlor","Peanut Butter","315","0"," "," "," ","0.1","M","0.5"
"Alachlor","Potatoes","707","0"," "," "," ","0.0015","M","NT"
"Alachlor","Spinach","358","0"," "," "," ","0.0015","M","NT"
"Alachlor","Strawberries","706","0"," "," "," ","0.005 - 0.01","M","NT"
"Alachlor","Sweet Corn, Fresh","468","0"," "," "," ","0.005 - 0.02","M","0.05"
"Alachlor","Sweet Corn, Frozen","65","0"," "," "," ","0.005 - 0.02","M","0.05"
"Alachlor","Tomatoes","708","0"," "," "," ","0.0015","M","NT"
"Aldicarb","Cherries","232","0"," "," "," ","0.02","M","NT"
"Aldicarb","Cherries, Frozen","453","0"," "," "," ","0.02","M","NT"
"Aldicarb","Cucumbers","378","0"," "," "," ","0.01 - 0.025","M","NT"
"Aldicarb","Grapefruit","177","0"," "," "," ","0.001 - 0.005","M","0.3"
"Aldicarb","Nectarines","578","0"," "," "," ","0.005","M","NT"
"Aldicarb","Oranges","707","0"," "," "," ","0.01","M","0.3"
"Aldicarb","Peaches","362","0"," "," "," ","0.01","M","NT"
"Aldicarb","Peanut Butter","315","0"," "," "," ","0.2","M","0.05"
"Aldicarb","Potatoes","707","0"," "," "," ","0.001","M","1"
"Aldicarb","Spinach","708","0"," "," "," ","0.001 - 0.02","M","NT"
"Aldicarb","Strawberries","706","0"," "," "," ","0.005","M","NT"
"Aldicarb","Sweet Corn, Fresh","250","0"," "," "," ","0.005","M","NT"
"Aldicarb","Sweet Corn, Frozen","20","0"," "," "," ","0.005","M","NT"
"Aldicarb","Tomatoes","708","0"," "," "," ","0.001","M","NT"
"Aldicarb sulfone","Apples","708","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Cherries","232","0"," "," "," ","0.025","M","NT"
"Aldicarb sulfone","Cherries, Frozen","453","0"," "," "," ","0.025","M","NT"
"Aldicarb sulfone","Cucumbers","378","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Grapefruit","177","0"," "," "," ","0.0025 - 0.02","M","0.3"
"Aldicarb sulfone","Lettuce","378","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Nectarines","578","0"," "," "," ","0.0025 - 0.005","M","NT"
"Aldicarb sulfone","Oranges","707","0"," "," "," ","0.01","M","0.3"
"Aldicarb sulfone","Peaches","362","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Peanut Butter","315","0"," "," "," ","0.15","M","0.05"
"Aldicarb sulfone","Potatoes","707","0"," "," "," ","0.003","M","1"
"Aldicarb sulfone","Spinach","708","0"," "," "," ","0.003 - 0.025","M","NT"
"Aldicarb sulfone","Strawberries","706","0"," "," "," ","0.0025 - 0.005","M","NT"
"Aldicarb sulfone","Sweet Corn, Fresh","250","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Sweet Corn, Frozen","20","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Tomatoes","708","0"," "," "," ","0.003 - 0.01","M","NT"
"Aldicarb sulfone","Watermelon","370","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Apples","708","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Cherries","232","0"," "," "," ","0.051","M","NT"
"Aldicarb sulfoxide","Cherries, Frozen","453","0"," "," "," ","0.051","M","NT"
"Aldicarb sulfoxide","Cucumbers","378","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Grapefruit","90","0"," "," "," ","0.0025","M","0.3"
"Aldicarb sulfoxide","Lettuce","378","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Nectarines","578","0"," "," "," ","0.0025 - 0.005","M","NT"
"Aldicarb sulfoxide","Oranges","707","0"," "," "," ","0.01","M","0.3"
"Aldicarb sulfoxide","Peaches","362","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Peanut Butter","315","0"," "," "," ","0.5","M","0.05"
"Aldicarb sulfoxide","Potatoes","707","0"," "," "," ","0.0018","M","1"
"Aldicarb sulfoxide","Spinach","708","0"," "," "," ","0.0018 - 0.051","M","NT"
"Aldicarb sulfoxide","Strawberries","706","0"," "," "," ","0.0025 - 0.005","M","NT"
"Aldicarb sulfoxide","Sweet Corn, Fresh","250","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Sweet Corn, Frozen","20","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Tomatoes","708","0"," "," "," ","0.0018 - 0.006","M","NT"
"Aldicarb sulfoxide","Watermelon","370","0"," "," "," ","0.005","M","NT"
"Aldrin","Apples","708","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Cherries","232","0"," "," "," ","0.041","M","0.03 AL"
"Aldrin","Cherries, Frozen","453","0"," "," "," ","0.041","M","0.03 AL"
"Aldrin","Cucumbers","378","0"," "," "," ","0.005","M","0.1 AL"
"Aldrin","Grapefruit","177","0"," "," "," ","0.01","M","0.02 AL"
"Aldrin","Grapes","708","0"," "," "," ","0.003","M","0.05 AL"
"Aldrin","Green Beans","754","0"," "," "," ","0.01","M","0.05 AL"
"Aldrin","Lettuce","378","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Nectarines","578","0"," "," "," ","0.005 - 0.01","M","0.03 AL"
"Aldrin","Oranges","707","0"," "," "," ","0.005","M","0.02 AL"
"Aldrin","Peaches","362","0"," "," "," ","0.005","M","0.02 AL"
"Aldrin","Peanut Butter","315","0"," "," "," ","0.15","M","0.05 AL"
"Aldrin","Pears","705","0"," "," "," ","0.003","M","0.03 AL"
"Aldrin","Potatoes","707","0"," "," "," ","0.001","M","0.1 AL"
"Aldrin","Spinach","708","0"," "," "," ","0.001 - 0.04","M","0.05 AL"
"Aldrin","Strawberries","706","0"," "," "," ","0.005 - 0.01","M","0.05 AL"
"Aldrin","Sweet Corn, Fresh","468","0"," "," "," ","0.005 - 0.01","M","0.02 AL"
"Aldrin","Sweet Corn, Frozen","65","0"," "," "," ","0.005 - 0.01","M","0.02 AL"
"Aldrin","Tomatoes","708","0"," "," "," ","0.001","M","0.05 AL"
"Aldrin","Watermelon","370","0"," "," "," ","0.003","M","0.1 AL"
"Allethrin","Cherries","232","0"," "," "," ","0.08","M","EX"
"Allethrin","Cherries, Frozen","453","0"," "," "," ","0.08","M","EX"
"Allethrin","Cucumbers","378","0"," "," "," ","0.02","M","EX"
"Allethrin","Grapefruit","177","0"," "," "," ","0.01 - 0.05","M","EX"
"Allethrin","Grapes","708","0"," "," "," ","0.03","M","EX"
"Allethrin","Green Beans","754","0"," "," "," ","0.05","M","EX"
"Allethrin","Nectarines","578","0"," "," "," ","0.01","M","EX"
"Allethrin","Oranges","707","0"," "," "," ","0.02","M","EX"
"Allethrin","Peaches","362","0"," "," "," ","0.02","M","EX"
"Allethrin","Spinach","350","0"," "," "," ","0.081","M","EX"
"Allethrin","Strawberries","706","0"," "," "," ","0.01","M","EX"
"Allethrin","Sweet Corn, Fresh","468","0"," "," "," ","0.01 - 0.05","M","EX"
"Allethrin","Sweet Corn, Frozen","65","0"," "," "," ","0.01 - 0.05","M","EX"
"Ametoctradin","Grapefruit","177","0"," "," "," ","0.001 - 0.0012","M","NT"
"Ametoctradin","Green Beans","754","0"," "," "," ","0.001","M","NT"
"Ametoctradin","Nectarines","578","0"," "," "," ","0.0012 - 0.0025","M","NT"
"Ametoctradin","Potatoes","707","0"," "," "," ","0.001","M","0.05"
"Ametoctradin","Spinach","358","188","52.5","0.002","9.3","0.001","M","50.0"
"Ametoctradin","Strawberries","706","0"," "," "," ","0.0012 - 0.0025","M","NT"
"Ametoctradin","Sweet Corn, Fresh","468","0"," "," "," ","0.001 - 0.0025","M","NT"
"Ametoctradin","Sweet Corn, Frozen","65","0"," "," "," ","0.001 - 0.0025","M","NT"
"Ametoctradin","Tomatoes","708","20","2.8","0.002","0.0091","0.001","M","1.5"
"Ametryn","Cucumbers","378","0"," "," "," ","0.01","M","NT"
"Ametryn","Grapefruit","177","0"," "," "," ","0.0012 - 0.005","M","NT"
"Ametryn","Nectarines","578","0"," "," "," ","0.005","M","NT"
"Ametryn","Oranges","707","0"," "," "," ","0.01","M","NT"
"Ametryn","Peaches","362","0"," "," "," ","0.01","M","NT"
"Ametryn","Strawberries","706","0"," "," "," ","0.0012 - 0.005","M","NT"
"Ametryn","Sweet Corn, Fresh","409","0"," "," "," ","0.005","M","0.25"
"Ametryn","Sweet Corn, Frozen","64","0"," "," "," ","0.005","M","0.25"
"Atrazine","Apples","708","0"," "," "," ","0.002","M","NT"
"Atrazine","Cucumbers","378","0"," "," "," ","0.005","M","NT"
"Atrazine","Grapefruit","177","0"," "," "," ","0.0012 - 0.005","M","NT"
"Atrazine","Lettuce","378","0"," "," "," ","0.002","M","0.25"
"Atrazine","Nectarines","578","0"," "," "," ","0.0012 - 0.0025","M","NT"
"Atrazine","Oranges","707","0"," "," "," ","0.005","M","NT"
"Atrazine","Peaches","362","0"," "," "," ","0.005","M","NT"
"Atrazine","Potatoes","707","0"," "," "," ","0.001","M","NT"
"Atrazine","Spinach","708","5","0.7","0.0016","0.0054","0.001","M","0.25"
"Atrazine","Strawberries","706","0"," "," "," ","0.0012 - 0.0025","M","NT"
"Atrazine","Sweet Corn, Fresh","468","0"," "," "," ","0.0025 - 0.005","M","0.20"
"Atrazine","Sweet Corn, Frozen","65","0"," "," "," ","0.0025 - 0.005","M","0.20"
"Atrazine","Tomatoes","708","0"," "," "," ","0.001","M","NT"
"Atrazine","Watermelon","370","4","1.1","0.002","0.006","0.002","M","NT"
"Avermectin","Peanut Butter","315","0"," "," "," ","0.1","M","0.01"
"Azinphos ethyl","Grapefruit","90","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Nectarines","578","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Strawberries","706","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Sweet Corn, Fresh","250","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Sweet Corn, Frozen","20","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Apples","708","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl","Cherries","232","0"," "," "," ","0.004","M","2.0"
"Azinphos methyl","Cherries, Frozen","453","1","0.2","0.004","0.004","0.004","M","2.0"
"Azinphos methyl","Cucumbers","378","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Grapefruit","177","0"," "," "," ","0.005 - 0.02","M","NT"
"Azinphos methyl","Grapes","708","0"," "," "," ","0.015","M","NT"
"Azinphos methyl","Green Beans","754","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Lettuce","378","0"," "," "," ","0.01","M","NT"
"Azinphos methyl","Nectarines","578","2","0.3","0.0062","0.0067","0.005","M","2.0"
"Azinphos methyl","Oranges","707","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Peaches","362","7","1.9","0.031","0.11","0.02","M","2.0"
"Azinphos methyl","Pears","705","0"," "," "," ","0.015","M","1.5"
"Azinphos methyl","Potatoes","707","0"," "," "," ","0.012","M","NT"
"Azinphos methyl","Spinach","708","0"," "," "," ","0.0041 - 0.012","M","NT"
"Azinphos methyl","Strawberries","706","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Sweet Corn, Fresh","468","0"," "," "," ","0.005 - 0.02","M","NT"
"Azinphos methyl","Sweet Corn, Frozen","65","0"," "," "," ","0.005 - 0.02","M","NT"
"Azinphos methyl","Tomatoes","708","0"," "," "," ","0.012","M","NT"
"Azinphos methyl","Watermelon","370","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Apples","708","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl oxygen analog","Cherries","232","0"," "," "," ","0.0025","M","2.0"
"Azinphos methyl oxygen analog","Cherries, Frozen","453","0"," "," "," ","0.0025","M","2.0"
"Azinphos methyl oxygen analog","Grapefruit","177","0"," "," "," ","0.0025 - 0.015","M","NT"
"Azinphos methyl oxygen analog","Grapes","708","0"," "," "," ","0.003","M","NT"
"Azinphos methyl oxygen analog","Green Beans","722","0"," "," "," ","0.003","M","NT"
"Azinphos methyl oxygen analog","Lettuce","378","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Nectarines","578","0"," "," "," ","0.0025 - 0.01","M","2.0"
"Azinphos methyl oxygen analog","Peanut Butter","315","0"," "," "," ","0.05","M","NT"
"Azinphos methyl oxygen analog","Pears","705","0"," "," "," ","0.003","M","1.5"
"Azinphos methyl oxygen analog","Spinach","350","0"," "," "," ","0.0025","M","NT"
"Azinphos methyl oxygen analog","Strawberries","706","0"," "," "," ","0.0025 - 0.01","M","NT"
"Azinphos methyl oxygen analog","Sweet Corn, Fresh","468","0"," "," "," ","0.003 - 0.01","M","NT"
"Azinphos methyl oxygen analog","Sweet Corn, Frozen","65","0"," "," "," ","0.003 - 0.01","M","NT"
"Azinphos methyl oxygen analog","Watermelon","370","0"," "," "," ","0.01","M","NT"
"Azoxystrobin","Apples","708","0"," "," "," ","0.0015","M","NT"
"Azoxystrobin","Cherries","232","3","1.3","0.0053","0.041","0.0051","M","2.0"
"Azoxystrobin","Cherries, Frozen","453","50","11","0.0063","0.2","0.0051","M","1.5"
"Azoxystrobin","Cucumbers","378","53","14","0.0021","0.045","0.002","M","0.3"
"Azoxystrobin","Grapefruit","177","32","18.1","0.0031","0.033","0.0012 - 0.01","M","15.0"
"Azoxystrobin","Grapes","708","27","3.8","0.005","0.0444","0.003","M","2.0"
"Azoxystrobin","Green Beans","754","301","39.9","0.001","1.7","0.001","M","3.0"
"Azoxystrobin","Lettuce","378","1","0.3","0.002","0.002","0.0015","M","30.0"
"Azoxystrobin","Nectarines","578","12","2.1","0.0026","0.025","0.0012 - 0.0025","M","2.0"
"Azoxystrobin","Oranges","707","27","3.8","0.0021","0.065","0.002","M","15.0"
"Azoxystrobin","Peaches","362","17","4.7","0.0021","0.4","0.002","M","2.0"
"Azoxystrobin","Peanut Butter","315","0"," "," "," ","0.25","M","0.2"
"Azoxystrobin","Potatoes","707","226","32","0.002","2.9","0.001","M","8.0"
"Azoxystrobin","Spinach","708","43","6.1","0.002","16","0.001 - 0.0051","M","30.0"
"Azoxystrobin","Strawberries","706","76","10.8","0.0013","0.57","0.0012 - 0.0025","M","10.0"
"Azoxystrobin","Sweet Corn, Fresh","468","0"," "," "," ","0.0025 - 0.01","M","0.05"
"Azoxystrobin","Sweet Corn, Frozen","65","0"," "," "," ","0.0025 - 0.01","M","0.05"
"Azoxystrobin","Tomatoes","708","159","22.5","0.002","0.059","0.001","M","0.2"
"Azoxystrobin","Watermelon","370","2","0.5","0.002","0.002","0.0015","M","0.3"
"Benalaxyl","Grapefruit","90","0"," "," "," ","0.01","M","NT"
"Benalaxyl","Nectarines","578","0"," "," "," ","0.005 - 0.01","M","NT"
"Benalaxyl","Strawberries","706","0"," "," "," ","0.005 - 0.01","M","NT"
"Benalaxyl","Sweet Corn, Fresh","250","0"," "," "," ","0.005","M","NT"
"Benalaxyl","Sweet Corn, Frozen","20","0"," "," "," ","0.005","M","NT"
"Benazolin","Grapefruit","90","0"," "," "," ","0.05","M","NT"
"Benazolin","Nectarines","578","0"," "," "," ","0.05","M","NT"
"Benazolin","Strawberries","706","0"," "," "," ","0.05","M","NT"
"Benazolin","Sweet Corn, Fresh","250","0"," "," "," ","0.05","M","NT"
"Benazolin","Sweet Corn, Frozen","20","0"," "," "," ","0.05","M","NT"
"Bendiocarb","Apples","708","0"," "," "," ","0.003","M","SU"
"Bendiocarb","Cherries","232","0"," "," "," ","0.0095","M","SU"
"Bendiocarb","Cherries, Frozen","453","0"," "," "," ","0.0095","M","SU"
"Bendiocarb","Cucumbers","378","0"," "," "," ","0.005","M","SU"
"Bendiocarb","Grapefruit","177","0"," "," "," ","0.0012 - 0.015","M","SU"
"Bendiocarb","Grapes","708","0"," "," "," ","0.003 - 0.01","M","SU"
"Bendiocarb","Green Beans","754","0"," "," "," ","0.015","M","SU"
"Bendiocarb","Lettuce","378","0"," "," "," ","0.003","M","SU"
"Bendiocarb","Nectarines","578","0"," "," "," ","0.0012 - 0.0025","M","SU"
"Bendiocarb","Oranges","707","0"," "," "," ","0.005","M","SU"
"Bendiocarb","Peaches","362","0"," "," "," ","0.005","M","SU"
"Bendiocarb","Peanut Butter","315","0"," "," "," ","0.05","M","SU"
"Bendiocarb","Pears","705","0"," "," "," ","0.003 - 0.01","M","SU"
"Bendiocarb","Potatoes","707","0"," "," "," ","0.001","M","SU"
"Bendiocarb","Spinach","708","0"," "," "," ","0.001 - 0.0095","M","SU"
"Bendiocarb","Strawberries","706","0"," "," "," ","0.0012 - 0.0025","M","SU"
