79,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
79,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
79,"h","","","","","","",""
79,"h","","","","","Sales","Sales","Sales"
79,"h","","","","","","",""
79,"h","","Harvested","Harvested","Harvested","Total  gross value of sales","Total  gross value of sales","Total  gross value of sales"
79,"h","","","","","","",""
79,"h","Crop and geographic area","Farms","Acres","Production","Farms","Quantity","Dollars"
79,"h","","","","","","",""
79,"d","ALFALFA AND ALFALFA MIXTURES",,,,,,
79,"d"," FOR DRY HAY (TONS)",,,,,,
79,"d","",,,,,,
79,"d","United States",2003,231318,747555,926,382513,69479028
79,"d","",,,,,,
79,"d","Arizona",2,"(D)","(D)",2,"(D)","(D)"
79,"d","California",53,11826,49023,43,43562,9277542
79,"d","Colorado",39,6326,18553,36,17067,3725167
79,"d","Delaware",2,"(D)","(D)",2,"(D)","(D)"
79,"d","Idaho",86,41912,97080,63,63008,12816864
79,"d","",,,,,,
79,"d","Illinois",35,2413,9540,27,6336,773104
79,"d","Indiana",79,3095,9088,21,1655,450494
79,"d","Iowa",231,12251,42077,103,17734,2159151
79,"d","Kansas",19,985,3580,17,1992,377276
79,"d","Kentucky",9,178,490,7,386,61655
79,"d","",,,,,,
79,"d","Maine",3,212,350,1,"(D)","(D)"
79,"d","Maryland",14,686,1547,8,669,101866
79,"d","Massachusetts",1,"(D)","(D)",-,-,-
79,"d","Michigan",47,3664,11152,21,2695,365398
79,"d","Minnesota",191,18386,72006,86,30486,3826733
79,"d","",,,,,,
79,"d","Missouri",11,953,3282,4,20,2213
79,"d","Montana",20,4753,7031,13,4160,443176
79,"d","Nebraska",57,7927,27965,45,23651,4184927
79,"d","Nevada",10,4900,16420,8,6886,1316349
79,"d","New Hampshire",1,"(D)","(D)",-,-,-
79,"d","",,,,,,
79,"d","New Jersey",1,"(D)","(D)",-,-,-
79,"d","New Mexico",13,730,3155,12,"(D)","(D)"
79,"d","New York",108,8608,32590,52,9538,1241565
79,"d","North Dakota",49,13323,38909,15,15114,1768264
79,"d","Ohio",122,5224,21501,30,4558,662675
79,"d","",,,,,,
79,"d","Oklahoma",2,"(D)","(D)",1,"(D)","(D)"
79,"d","Oregon",54,19430,86982,43,60801,13617281
79,"d","Pennsylvania",187,6659,22329,45,5289,1145584
79,"d","South Dakota",47,7938,20992,27,7931,724300
79,"d","Texas",6,3893,14979,6,14966,3319159
79,"d","",,,,,,
79,"d","Utah",10,2786,5753,8,"(D)",447183
79,"d","Vermont",24,2131,4089,7,1796,336071
79,"d","Virginia",10,560,2020,5,692,58899
79,"d","Washington",34,3530,14380,30,8219,1560930
79,"d","Wisconsin",410,27126,88812,129,19188,2785698
79,"d","Wyoming",16,7998,17377,9,2723,471855
79,"d","",,,,,,
79,"d","BARLEY FOR GRAIN OR",,,,,,
79,"d"," SEED (BUSHELS)",,,,,,
79,"d","",,,,,,
79,"d","United States",415,41645,1974240,234,1518728,12275953
79,"d","",,,,,,
79,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
79,"d","California",14,3489,170022,11,167567,1362694
79,"d","Colorado",5,766,63265,5,63265,500189
79,"d","Delaware",2,"(D)","(D)",2,"(D)","(D)"
79,"d","Idaho",51,13758,596426,41,435840,3275235
79,"d","",,,,,,
79,"d","Illinois",4,44,1549,1,"(D)","(D)"
79,"d","Indiana",1,"(D)","(D)",-,-,-
79,"d","Iowa",27,1411,66900,20,40631,315068
79,"c",""
79,"c","See footnote(s) at end of table.","--continued"
