93,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
93,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
93,"h","","","","","","",""
93,"h","","","","","Sales","Sales","Sales"
93,"h","","","","","","",""
93,"h","","Harvested","Harvested","Harvested","Total  gross value of sales","Total  gross value of sales","Total  gross value of sales"
93,"h","","","","","","",""
93,"h","Crop and geographic area","Farms","Acres","Production","Farms","Quantity","Dollars"
93,"h","","","","","","",""
93,"d","OATS (BUSHELS) - Con.",,,,,,
93,"d","",,,,,,
93,"d","New Hampshire",1,"(D)","(D)",-,-,-
93,"d","New Mexico",3,8,263,3,"(D)",1729
93,"d","New York",54,1804,66154,34,40489,215991
93,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
93,"d","North Dakota",31,4314,195928,22,166718,869897
93,"d","",,,,,,
93,"d","Ohio",55,1013,45550,14,9861,30707
93,"d","Oregon",5,350,37367,2,"(D)","(D)"
93,"d","Pennsylvania",28,306,14417,5,2531,12968
93,"d","South Carolina",1,"(D)","(D)",1,"(D)","(D)"
93,"d","South Dakota",19,1984,90547,14,68789,292931
93,"d","",,,,,,
93,"d","Utah",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Vermont",4,95,3028,2,"(D)","(D)"
93,"d","Washington",5,94,3575,2,"(D)","(D)"
93,"d","Wisconsin",191,4251,223490,57,50386,231239
93,"d","Wyoming",3,276,15131,3,15131,73027
93,"d","",,,,,,
93,"d","PEANUTS FOR NUTS (POUNDS)",,,,,,
93,"d","",,,,,,
93,"d","United States",11,3617,10053641,11,10053641,5549603
93,"d","",,,,,,
93,"d","New Mexico",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Texas",10,"(D)","(D)",10,"(D)","(D)"
93,"d","",,,,,,
93,"d","PEAS, DRY AND LENTILS (CWT)",,,,,,
93,"d","",,,,,,
93,"d","United States",62,10379,101998,51,71601,2622893
93,"d","",,,,,,
93,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
93,"d","California",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Florida",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Idaho",1,"(D)","(D)",-,-,-
93,"d","Illinois",1,"(D)","(D)",1,"(D)","(D)"
93,"d","",,,,,,
93,"d","Iowa",2,"(D)","(D)",1,"(D)","(D)"
93,"d","Kansas",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Minnesota",9,564,6072,7,5509,93474
93,"d","Montana",23,6277,44726,20,43785,1908305
93,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)"
93,"d","",,,,,,
93,"d","New Mexico",1,"(D)","(D)",1,"(D)","(D)"
93,"d","New York",5,"(D)","(D)",3,31,"(D)"
93,"d","North Dakota",9,1792,16326,8,16282,499263
93,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
93,"d","South Dakota",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Washington",2,"(D)","(D)",1,"(D)","(D)"
93,"d","",,,,,,
93,"d","POPCORN (POUNDS SHELLED)",,,,,,
93,"d","",,,,,,
93,"d","United States",43,2385,6842126,41,6760905,2354691
93,"d","",,,,,,
93,"d","California",2,"(D)","(D)",2,"(D)","(D)"
93,"d","Colorado",3,32,87752,3,"(D)",29207
93,"d","Illinois",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Indiana",1,"(D)","(D)",1,"(D)","(D)"
93,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
93,"d","",,,,,,
93,"d","Michigan",2,"(D)","(D)",1,"(D)","(D)"
93,"d","Missouri",6,652,1528633,6,1528633,537449
93,"c",""
93,"c","See footnote(s) at end of table.","--continued"
